test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm
0.4485,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.5074,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.4727,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.5148,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.4785,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.4263,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.3766,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.4422,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.4963,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.5199,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01

0.1189,2048,250,0.3,0.0033,0.1,true,true,repu,0.01
0.1049,2048,250,0.3,0.0033,0.1,true,true,repu,0.01
0.1046,2048,250,0.3,0.0033,0.1,true,true,repu,0.01
0.1109,2048,250,0.3,0.0033,0.1,true,true,repu,0.01
0.1245,2048,250,0.3,0.0033,0.1,true,true,repu,0.01
0.125,2048,250,0.3,0.0033,0.1,true,true,repu,0.01
0.1348,2048,250,0.3,0.0033,0.1,true,true,repu,0.01
0.0981,2048,250,0.3,0.0033,0.1,true,true,repu,0.01
0.1063,2048,250,0.3,0.0033,0.1,true,true,repu,0.01
0.1243,2048,250,0.3,0.0033,0.1,true,true,repu,0.01
