test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm
0.497,64,16,0.1,0,0.1,true,true,repu,0.066
0.3649,64,16,0.1,0.0033,0.1,true,true,repu,0.066
0.4933,64,16,0.1,0,0.1,true,true,repu,0.066
0.5661,64,16,0.1,0,0.1,true,true,repu,0.066
0.3935,64,16,0.1,0,0.1,true,true,repu,0.066
0.4582,64,16,0.1,0,0.1,true,true,repu,0.066
0.5711,64,16,0.1,0.0033,0.1,true,true,repu,0.066
0.4774,64,16,0.1,0,0.1,true,true,repu,0.066
0.4949,64,16,0.1,0.0033,0.1,true,true,repu,0.066
0.4122,64,16,0.1,0.0033,0.1,true,true,repu,0.066
0.3307,64,16,0.1,0.0033,0.1,true,true,repu,0.066
0.5247,64,16,0.1,0,0.1,true,true,repu,0.066
0.515,64,16,0.1,0,0.1,true,true,repu,0.066
0.4933,64,16,0.1,0.0033,0.1,true,true,repu,0.066
0.4614,64,16,0.1,0.0033,0.1,true,true,repu,0.066
0.4223,64,16,0.1,0.01,0.1,true,true,repu,0.066
0.4733,64,16,0.1,0.0066,0.1,true,true,repu,0.066
0.4947,64,16,0.1,0.0066,0.1,true,true,repu,0.066
0.5427,64,16,0.1,0.01,0.1,true,true,repu,0.066
0.5699,64,16,0.1,0.01,0.1,true,true,repu,0.066
0.5049,64,16,0.1,0.01,0.1,true,true,repu,0.066
0.3682,64,16,0.1,0.0066,0.1,true,true,repu,0.066
0.5479,64,16,0.1,0.01,0.1,true,true,repu,0.066
0.4311,64,16,0.1,0.0066,0.1,true,true,repu,0.066
0.4739,64,16,0.1,0.0066,0.1,true,true,repu,0.066
0.3514,64,16,0.1,0.0066,0.1,true,true,repu,0.066
0.4393,64,16,0.1,0.01,0.1,true,true,repu,0.066
0.3872,64,16,0.1,0.0066,0.1,true,true,repu,0.066
0.5652,64,16,0.1,0.0066,0.1,true,true,repu,0.066
0.4518,64,16,0.1,0.066,0.1,true,true,repu,0.066
0.4794,64,16,0.1,0.033,0.1,true,true,repu,0.066
0.4262,64,16,0.1,0.033,0.1,true,true,repu,0.066
0.4399,64,16,0.1,0.033,0.1,true,true,repu,0.066
0.495,64,16,0.1,0.033,0.1,true,true,repu,0.066
0.6143,64,16,0.1,0.033,0.1,true,true,repu,0.066
0.5479,64,16,0.1,0.066,0.1,true,true,repu,0.066
0.4317,64,16,0.1,0.066,0.1,true,true,repu,0.066
0.5686,64,16,0.1,0.033,0.1,true,true,repu,0.066
0.4793,64,16,0.1,0.066,0.1,true,true,repu,0.066
0.3669,64,16,0.1,0.066,0.1,true,true,repu,0.066
0.5512,64,16,0.1,0.033,0.1,true,true,repu,0.066
0.5081,64,16,0.1,0.066,0.1,true,true,repu,0.066
0.5995,64,16,0.1,0.066,0.1,true,true,repu,0.066
0.5296,64,16,0.1,0.066,0.1,true,true,repu,0.066
0.4173,64,16,0.1,0.3,0.1,true,true,repu,0.066
0.4098,64,16,0.1,0.1,0.1,true,true,repu,0.066
0.5538,64,16,0.1,0.1,0.1,true,true,repu,0.066
0.5024,64,16,0.1,0.3,0.1,true,true,repu,0.066
0.5248,64,16,0.1,0.3,0.1,true,true,repu,0.066
0.5615,64,16,0.1,0.1,0.1,true,true,repu,0.066
0.4463,64,16,0.1,0.3,0.1,true,true,repu,0.066
0.4418,64,16,0.1,0.1,0.1,true,true,repu,0.066
0.5096,64,16,0.1,0.1,0.1,true,true,repu,0.066
0.5129,64,16,0.1,0.1,0.1,true,true,repu,0.066
0.4254,64,16,0.1,0.3,0.1,true,true,repu,0.066
0.3427,64,16,0.1,0.3,0.1,true,true,repu,0.066
0.6078,64,16,0.1,0.3,0.1,true,true,repu,0.066
