test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm
0.0979,1,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1181,1,250,0.1,0.0033,0.1,true,true,repu,0.01
0.0912,1,250,0.1,0.0033,0.1,true,true,repu,0.01
0.0925,1,250,0.1,0.0033,0.1,true,true,repu,0.01
0.098,1,250,0.1,0.0033,0.1,true,true,repu,0.01
0.098,1,250,0.1,0.0033,0.1,true,true,repu,0.01
0.0978,1,250,0.1,0.0033,0.1,true,true,repu,0.01
0.099,64,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1132,64,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1254,64,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1099,64,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1509,64,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1139,64,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1187,64,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1224,64,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1176,1,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1024,256,250,0.1,0.0033,0.1,true,true,repu,0.01
0.0753,256,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1255,256,250,0.1,0.0033,0.1,true,true,repu,0.01
0.12,512,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1152,256,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1001,256,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1036,512,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1055,512,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1037,512,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1204,512,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1032,512,250,0.1,0.0033,0.1,true,true,repu,0.01
0.0899,512,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1442,256,250,0.1,0.0033,0.1,true,true,repu,0.01
0.074,256,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1036,256,250,0.1,0.0033,0.1,true,true,repu,0.01
0.0973,8,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1079,32,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1147,32,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1318,32,250,0.1,0.0033,0.1,true,true,repu,0.01
0.0994,8,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1052,32,250,0.1,0.0033,0.1,true,true,repu,0.01
0.098,32,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1036,32,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1055,32,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1045,32,250,0.1,0.0033,0.1,true,true,repu,0.01
0.0983,8,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1167,8,250,0.1,0.0033,0.1,true,true,repu,0.01
0.0985,8,250,0.1,0.0033,0.1,true,true,repu,0.01
0.104,8,250,0.1,0.0033,0.1,true,true,repu,0.01
0.0684,8,250,0.1,0.0033,0.1,true,true,repu,0.01
0.0984,16,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1134,16,250,0.1,0.0033,0.1,true,true,repu,0.01
0.0975,16,250,0.1,0.0033,0.1,true,true,repu,0.01
0.098,128,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1239,128,250,0.1,0.0033,0.1,true,true,repu,0.01
0.0977,128,250,0.1,0.0033,0.1,true,true,repu,0.01
0.0981,16,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1074,128,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1051,128,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1233,128,250,0.1,0.0033,0.1,true,true,repu,0.01
0.0989,128,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1149,128,250,0.1,0.0033,0.1,true,true,repu,0.01
0.0979,16,250,0.1,0.0033,0.1,true,true,repu,0.01
0.099,16,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1066,16,250,0.1,0.0033,0.1,true,true,repu,0.01
0.0985,16,250,0.1,0.0033,0.1,true,true,repu,0.01
