test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm
0.098,64,1,0.1,0.0033,0.1,true,true,repu,0.01
0.098,64,0.1,0.1,0.0033,0.1,true,true,repu,0.01
0.098,64,1,0.1,0.0033,0.1,true,true,repu,0.01
0.098,64,0.1,0.1,0.0033,0.1,true,true,repu,0.01
0.098,64,1,0.1,0.0033,0.1,true,true,repu,0.01
0.098,64,0.1,0.1,0.0033,0.1,true,true,repu,0.01
0.098,64,0.1,0.1,0.0033,0.1,true,true,repu,0.01
0.098,64,0.1,0.1,0.0033,0.1,true,true,repu,0.01
0.098,64,0.1,0.1,0.0033,0.1,true,true,repu,0.01
0.098,64,0.1,0.1,0.0033,0.1,true,true,repu,0.01
0.098,64,0.1,0.1,0.0033,0.1,true,true,repu,0.01
0.098,64,1,0.1,0.0033,0.1,true,true,repu,0.01
0.098,64,1,0.1,0.0033,0.1,true,true,repu,0.01
0.2441,64,4,0.1,0.0033,0.1,true,true,repu,0.01
0.2311,64,8,0.1,0.0033,0.1,true,true,repu,0.01
0.2206,64,8,0.1,0.0033,0.1,true,true,repu,0.01
0.4331,64,8,0.1,0.0033,0.1,true,true,repu,0.01
0.23,64,4,0.1,0.0033,0.1,true,true,repu,0.01
0.2976,64,8,0.1,0.0033,0.1,true,true,repu,0.01
0.21,64,4,0.1,0.0033,0.1,true,true,repu,0.01
0.1857,64,8,0.1,0.0033,0.1,true,true,repu,0.01
0.116,64,8,0.1,0.0033,0.1,true,true,repu,0.01
0.1858,64,4,0.1,0.0033,0.1,true,true,repu,0.01
0.1365,64,4,0.1,0.0033,0.1,true,true,repu,0.01
0.3197,64,8,0.1,0.0033,0.1,true,true,repu,0.01
0.3102,64,8,0.1,0.0033,0.1,true,true,repu,0.01
0.1596,64,4,0.1,0.0033,0.1,true,true,repu,0.01
0.1046,64,4,0.1,0.0033,0.1,true,true,repu,0.01
0.2444,64,4,0.1,0.0033,0.1,true,true,repu,0.01
0.3643,64,64,0.1,0.0033,0.1,true,true,repu,0.01
0.2244,64,16,0.1,0.0033,0.1,true,true,repu,0.01
0.3613,64,16,0.1,0.0033,0.1,true,true,repu,0.01
0.14,64,64,0.1,0.0033,0.1,true,true,repu,0.01
0.2735,64,64,0.1,0.0033,0.1,true,true,repu,0.01
0.2821,64,64,0.1,0.0033,0.1,true,true,repu,0.01
0.2487,64,16,0.1,0.0033,0.1,true,true,repu,0.01
0.3505,64,64,0.1,0.0033,0.1,true,true,repu,0.01
0.2624,64,64,0.1,0.0033,0.1,true,true,repu,0.01
0.2422,64,16,0.1,0.0033,0.1,true,true,repu,0.01
0.2641,64,64,0.1,0.0033,0.1,true,true,repu,0.01
0.3663,64,16,0.1,0.0033,0.1,true,true,repu,0.01
0.2342,64,16,0.1,0.0033,0.1,true,true,repu,0.01
0.3489,64,16,0.1,0.0033,0.1,true,true,repu,0.01
0.2445,64,16,0.1,0.0033,0.1,true,true,repu,0.01
0.2876,64,64,0.1,0.0033,0.1,true,true,repu,0.01
0.1097,64,256,0.1,0.0033,0.1,true,true,repu,0.01
0.0884,64,128,0.1,0.0033,0.1,true,true,repu,0.01
0.0682,64,128,0.1,0.0033,0.1,true,true,repu,0.01
0.103,64,256,0.1,0.0033,0.1,true,true,repu,0.01
0.099,64,256,0.1,0.0033,0.1,true,true,repu,0.01
0.1724,64,128,0.1,0.0033,0.1,true,true,repu,0.01
0.097,64,256,0.1,0.0033,0.1,true,true,repu,0.01
0.1099,64,128,0.1,0.0033,0.1,true,true,repu,0.01
0.1282,64,256,0.1,0.0033,0.1,true,true,repu,0.01
0.1749,64,128,0.1,0.0033,0.1,true,true,repu,0.01
0.2012,64,128,0.1,0.0033,0.1,true,true,repu,0.01
0.1475,64,128,0.1,0.0033,0.1,true,true,repu,0.01
0.2134,64,128,0.1,0.0033,0.1,true,true,repu,0.01
