test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm
0.5456,64,16,0.1,0.033,0.005,true,true,repu,0.066
0.5546,64,16,0.1,0.033,0.005,true,true,repu,0.066
0.5166,64,16,0.1,0.033,0,true,true,repu,0.066
0.4537,64,16,0.1,0.033,0,true,true,repu,0.066
0.5638,64,16,0.1,0.033,0,true,true,repu,0.066
0.5284,64,16,0.1,0.033,0,true,true,repu,0.066
0.5815,64,16,0.1,0.033,0,true,true,repu,0.066
0.358,64,16,0.1,0.033,0,true,true,repu,0.066
0.5252,64,16,0.1,0.033,0,true,true,repu,0.066
0.4459,64,16,0.1,0.033,0,true,true,repu,0.066
0.6511,64,16,0.1,0.033,0.005,true,true,repu,0.066
0.4445,64,16,0.1,0.033,0.005,true,true,repu,0.066
0.5842,64,16,0.1,0.033,0.005,true,true,repu,0.066
0.4626,64,16,0.1,0.033,0.005,true,true,repu,0.066
0.6335,64,16,0.1,0.033,0.005,true,true,repu,0.066
0.584,64,16,0.1,0.033,0.005,true,true,repu,0.066
0.5104,64,16,0.1,0.033,0.033,true,true,repu,0.066
.5199,64,16,0.1,0.033,0.033,true,true,repu,0.066
0.5001,64,16,0.1,0.033,0.033,true,true,repu,0.066
0.4172,64,16,0.1,0.033,0.033,true,true,repu,0.066
0.5532,64,16,0.1,0.033,0.033,true,true,repu,0.066
0.4795,64,16,0.1,0.033,0.01,true,true,repu,0.066
0.4409,64,16,0.1,0.033,0.01,true,true,repu,0.066
0.522,64,16,0.1,0.033,0.01,true,true,repu,0.066
0.5042,64,16,0.1,0.033,0.01,true,true,repu,0.066
0.4507,64,16,0.1,0.033,0.01,true,true,repu,0.066
0.6103,64,16,0.1,0.033,0.01,true,true,repu,0.066
0.451,64,16,0.1,0.033,0.01,true,true,repu,0.066
0.4721,64,16,0.1,0.033,0.033,true,true,repu,0.066
0.4991,64,16,0.1,0.033,0.033,true,true,repu,0.066
0.4633,64,16,0.1,0.033,0.033,true,true,repu,0.066
0.4127,64,16,0.1,0.033,0.1,true,true,repu,0.066
0.4189,64,16,0.1,0.033,0.066,true,true,repu,0.066
0.3215,64,16,0.1,0.033,0.1,true,true,repu,0.066
0.518,64,16,0.1,0.033,0.066,true,true,repu,0.066
0.6027,64,16,0.1,0.033,0.066,true,true,repu,0.066
0.5699,64,16,0.1,0.033,0.1,true,true,repu,0.066
0.5988,64,16,0.1,0.033,0.1,true,true,repu,0.066
0.3686,64,16,0.1,0.033,0.066,true,true,repu,0.066
0.4813,64,16,0.1,0.033,0.066,true,true,repu,0.066
0.4179,64,16,0.1,0.033,0.066,true,true,repu,0.066
0.526,64,16,0.1,0.033,0.066,true,true,repu,0.066
0.584,64,16,0.1,0.033,0.066,true,true,repu,0.066
0.4165,64,16,0.1,0.033,0.1,true,true,repu,0.066
0.502,64,16,0.1,0.033,0.1,true,true,repu,0.066
0.326,64,16,0.1,0.033,0.1,true,true,repu,0.066
0.098,64,16,0.1,0.033,0.33,true,true,repu,0.066
0.098,64,16,0.1,0.033,0.33,true,true,repu,0.066
0.5391,64,16,0.1,0.033,0.15,true,true,repu,0.066
0.5987,64,16,0.1,0.033,0.15,true,true,repu,0.066
0.4236,64,16,0.1,0.033,0.15,true,true,repu,0.066
0.4212,64,16,0.1,0.033,0.15,true,true,repu,0.066
0.4208,64,16,0.1,0.033,0.15,true,true,repu,0.066
0.098,64,16,0.1,0.033,0.33,true,true,repu,0.066
0.098,64,16,0.1,0.033,0.33,true,true,repu,0.066
0.098,64,16,0.1,0.033,0.33,true,true,repu,0.066
0.098,64,16,0.1,0.033,0.33,true,true,repu,0.066
0.098,64,16,0.1,0.033,0.33,true,true,repu,0.066
0.4089,64,16,0.1,0.033,0.0066,true,true,repu,0.066
0.5258,64,16,0.1,0.033,0.0033,true,true,repu,0.066
0.5276,64,16,0.1,0.033,0.0033,true,true,repu,0.066
0.583,64,16,0.1,0.033,0.0033,true,true,repu,0.066
0.636,64,16,0.1,0.033,0.0033,true,true,repu,0.066
0.4784,64,16,0.1,0.033,0.0033,true,true,repu,0.066
0.3801,64,16,0.1,0.033,0.0033,true,true,repu,0.066
0.4402,64,16,0.1,0.033,0.0066,true,true,repu,0.066
0.6231,64,16,0.1,0.033,0.0066,true,true,repu,0.066
0.4187,64,16,0.1,0.033,0.0066,true,true,repu,0.066
0.525,64,16,0.1,0.033,0.0066,true,true,repu,0.066
0.4057,64,16,0.1,0.033,0.0066,true,true,repu,0.066
0.4907,64,16,0.1,0.033,0.0066,true,true,repu,0.066
