test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm
0.5072,64,16,0.1,0.033,0.005,true,false,repu,0.066
0.3994,64,16,0.1,0.033,0.005,true,false,repu,0.066
0.6127,64,16,0.1,0.033,0.005,true,false,repu,0.066
0.5093,64,16,0.1,0.033,0.005,true,false,repu,0.066
0.4743,64,16,0.1,0.033,0.005,true,false,repu,0.066
0.6216,64,16,0.1,0.033,0.005,true,false,repu,0.066
0.525,64,16,0.1,0.033,0.005,true,false,repu,0.066
0.473,64,16,0.1,0.033,0.005,true,false,repu,0.066
0.6258,64,16,0.1,0.033,0.005,true,false,repu,0.066
0.5188,64,16,0.1,0.033,0.005,true,false,repu,0.066
0.4715,64,16,0.1,0.033,0.005,true,false,repu,0.066
0.5452,64,16,0.1,0.033,0.005,true,false,repu,0.066
0.6078,64,16,0.1,0.033,0.005,true,false,repu,0.066
0.4772,64,16,0.1,0.033,0.005,true,false,repu,0.066

0.3606,64,16,0.1,0.033,0.005,true,true,repu,0.066
0.3474,64,16,0.1,0.033,0.005,true,true,repu,0.066
0.4628,64,16,0.1,0.033,0.005,true,true,repu,0.066
0.3548,64,16,0.1,0.033,0.005,true,true,repu,0.066
0.4547,64,16,0.1,0.033,0.005,true,true,repu,0.066
0.3695,64,16,0.1,0.033,0.005,true,true,repu,0.066
0.4011,64,16,0.1,0.033,0.005,true,true,repu,0.066
0.5354,64,16,0.1,0.033,0.005,true,true,repu,0.066
0.5257,64,16,0.1,0.033,0.005,true,true,repu,0.066
0.4504,64,16,0.1,0.033,0.005,true,true,repu,0.066
0.5809,64,16,0.1,0.033,0.005,true,true,repu,0.066
0.3953,64,16,0.1,0.033,0.005,true,true,repu,0.066
0.5236,64,16,0.1,0.033,0.005,true,true,repu,0.066
0.3991,64,16,0.1,0.033,0.005,true,true,repu,0.066
