test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm
0.1349,1024,250,0.001,0.0033,0.1,true,true,repu,0.01
0.0979,1024,250,0.001,0.0033,0.1,true,true,repu,0.01
0.0676,1024,250,0.001,0.0033,0.1,true,true,repu,0.01
0.1321,1024,250,0.001,0.0033,0.1,true,true,repu,0.01
0.127,1024,250,0.001,0.0033,0.1,true,true,repu,0.01
0.1255,1024,250,0.001,0.0033,0.1,true,true,repu,0.01
0.0995,1024,250,0.0033,0.0033,0.1,true,true,repu,0.01
0.0981,1024,250,0.0033,0.0033,0.1,true,true,repu,0.01
0.0989,1024,250,0.001,0.0033,0.1,true,true,repu,0.01
0.0999,1024,250,0.0033,0.0033,0.1,true,true,repu,0.01
0.1236,1024,250,0.001,0.0033,0.1,true,true,repu,0.01
0.0985,1024,250,0.0033,0.0033,0.1,true,true,repu,0.01
0.1067,1024,250,0.0033,0.0033,0.1,true,true,repu,0.01
0.0954,1024,250,0.0033,0.0033,0.1,true,true,repu,0.01
0.1234,2048,250,0.001,0.0033,0.1,true,true,repu,0.01
0.098,2048,250,0.001,0.0033,0.1,true,true,repu,0.01
0.1245,1024,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1194,1024,250,0.1,0.0033,0.1,true,true,repu,0.01
0.0935,1024,250,0.01,0.0033,0.1,true,true,repu,0.01
0.1399,1024,250,0.01,0.0033,0.1,true,true,repu,0.01
0.0985,1024,250,0.01,0.0033,0.1,true,true,repu,0.01
0.113,1024,250,0.01,0.0033,0.1,true,true,repu,0.01
0.1033,1024,250,0.01,0.0033,0.1,true,true,repu,0.01
0.1191,1024,250,0.01,0.0033,0.1,true,true,repu,0.01
0.1161,1024,250,0.1,0.0033,0.1,true,true,repu,0.01
0.0999,1024,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1252,1024,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1519,1024,250,0.01,0.0033,0.1,true,true,repu,0.01
0.0983,1024,250,0.01,0.0033,0.1,true,true,repu,0.01
0.1241,1024,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1008,1024,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1078,1024,250,0.1,0.0033,0.1,true,true,repu,0.01
0.0981,1024,250,0.3,0.0033,0.1,true,true,repu,0.01
0.1201,1024,250,0.5,0.0033,0.1,true,true,repu,0.01
0.1149,1024,250,0.3,0.0033,0.1,true,true,repu,0.01
0.128,1024,250,0.5,0.0033,0.1,true,true,repu,0.01
0.1237,1024,250,0.3,0.0033,0.1,true,true,repu,0.01
0.0991,1024,250,0.5,0.0033,0.1,true,true,repu,0.01
0.1056,1024,250,0.5,0.0033,0.1,true,true,repu,0.01
0.0999,1024,250,0.3,0.0033,0.1,true,true,repu,0.01
0.1189,1024,250,0.5,0.0033,0.1,true,true,repu,0.01
0.098,1024,250,0.3,0.0033,0.1,true,true,repu,0.01
0.1037,1024,250,0.5,0.0033,0.1,true,true,repu,0.01
0.1327,1024,250,0.5,0.0033,0.1,true,true,repu,0.01
0.0807,1024,250,0.5,0.0033,0.1,true,true,repu,0.01
0.0994,1024,250,0.3,0.0033,0.1,true,true,repu,0.01
0.1084,1024,250,0.3,0.0033,0.1,true,true,repu,0.01
