test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm

0.3128,64,16,0.1,0.0033,0.1,true,true,repu,0.0033
0.098,64,16,0.1,0.0033,0.1,true,true,repu,0
0.098,64,16,0.1,0.0033,0.1,true,true,repu,0
0.2583,64,16,0.1,0.0033,0.1,true,true,repu,0.0033
0.098,64,16,0.1,0.0033,0.1,true,true,repu,0
0.2791,64,16,0.1,0.0033,0.1,true,true,repu,0.0033
0.1871,64,16,0.1,0.0033,0.1,true,true,repu,0.0033
0.2274,64,16,0.1,0.0033,0.1,true,true,repu,0.0033
0.098,64,16,0.1,0.0033,0.1,true,true,repu,0
0.098,64,16,0.1,0.0033,0.1,true,true,repu,0
0.098,64,16,0.1,0.0033,0.1,true,true,repu,0
0.2229,64,16,0.1,0.0033,0.1,true,true,repu,0.0033
0.2344,64,16,0.1,0.0033,0.1,true,true,repu,0.0033
0.1687,64,16,0.1,0.0033,0.1,true,true,repu,0.0033
0.303,64,16,0.1,0.0033,0.1,true,true,repu,0.01
0.2531,64,16,0.1,0.0033,0.1,true,true,repu,0.01
0.2803,64,16,0.1,0.0033,0.1,true,true,repu,0.01
0.5492,64,16,0.1,0.0033,0.1,true,true,repu,0.05
0.5302,64,16,0.1,0.0033,0.1,true,true,repu,0.05
0.4155,64,16,0.1,0.0033,0.1,true,true,repu,0.01
0.5127,64,16,0.1,0.0033,0.1,true,true,repu,0.05
0.3381,64,16,0.1,0.0033,0.1,true,true,repu,0.01
0.4776,64,16,0.1,0.0033,0.1,true,true,repu,0.05
0.2715,64,16,0.1,0.0033,0.1,true,true,repu,0.01
0.5834,64,16,0.1,0.0033,0.1,true,true,repu,0.05
0.3841,64,16,0.1,0.0033,0.1,true,true,repu,0.05
0.3805,64,16,0.1,0.0033,0.1,true,true,repu,0.01
0.1692,64,16,0.1,0.0033,0.1,true,true,repu,0.01
0.4811,64,16,0.1,0.0033,0.1,true,true,repu,0.05
0.4829,64,16,0.1,0.0033,0.1,true,true,repu,0.05
0.5048,64,16,0.1,0.0033,0.1,true,true,repu,0.3
0.406,64,16,0.1,0.0033,0.1,true,true,repu,0.3
0.596,64,16,0.1,0.0033,0.1,true,true,repu,0.1
0.4571,64,16,0.1,0.0033,0.1,true,true,repu,0.3
0.4571,64,16,0.1,0.0033,0.1,true,true,repu,0.3
0.5301,64,16,0.1,0.0033,0.1,true,true,repu,0.1
0.4469,64,16,0.1,0.0033,0.1,true,true,repu,0.1
0.5077,64,16,0.1,0.0033,0.1,true,true,repu,0.1
0.3845,64,16,0.1,0.0033,0.1,true,true,repu,0.1
0.4959,64,16,0.1,0.0033,0.1,true,true,repu,0.1
0.412,64,16,0.1,0.0033,0.1,true,true,repu,0.1
0.3637,64,16,0.1,0.0033,0.1,true,true,repu,0.3
0.5564,64,16,0.1,0.0033,0.1,true,true,repu,0.3
0.415,64,16,0.1,0.0033,0.1,true,true,repu,0.3
0.5502,64,16,0.1,0.0033,0.1,true,true,repu,0.066
0.3258,64,16,0.1,0.0033,0.1,true,true,repu,0.033
0.5112,64,16,0.1,0.0033,0.1,true,true,repu,0.033
0.4529,64,16,0.1,0.0033,0.1,true,true,repu,0.066
0.4642,64,16,0.1,0.0033,0.1,true,true,repu,0.033
0.3478,64,16,0.1,0.0033,0.1,true,true,repu,0.033
0.3426,64,16,0.1,0.0033,0.1,true,true,repu,0.033
0.4422,64,16,0.1,0.0033,0.1,true,true,repu,0.033
0.4552,64,16,0.1,0.0033,0.1,true,true,repu,0.066
0.4744,64,16,0.1,0.0033,0.1,true,true,repu,0.066
0.4556,64,16,0.1,0.0033,0.1,true,true,repu,0.033
0.4944,64,16,0.1,0.0033,0.1,true,true,repu,0.066
0.4367,64,16,0.1,0.0033,0.1,true,true,repu,0.066
0.5656,64,16,0.1,0.0033,0.1,true,true,repu,0.066
0.5805,64,16,0.1,0.0033,0.1,true,true,repu,0.066
