test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm
0.127,8,250,0.3,0.0033,0.1,true,true,repu,0.01
0.1135,1,250,0.3,0.0033,0.1,true,true,repu,0.01
0.1135,1,250,0.3,0.0033,0.1,true,true,repu,0.01
0.1135,1,250,0.3,0.0033,0.1,true,true,repu,0.01
0.1135,1,250,0.3,0.0033,0.1,true,true,repu,0.01
0.1032,1,250,0.3,0.0033,0.1,true,true,repu,0.01
0.1135,1,250,0.3,0.0033,0.1,true,true,repu,0.01
0.2145,8,250,0.3,0.0033,0.1,true,true,repu,0.01
0.2145,8,250,0.3,0.0033,0.1,true,true,repu,0.01
0.3391,8,250,0.3,0.0033,0.1,true,true,repu,0.01
0.2665,8,250,0.3,0.0033,0.1,true,true,repu,0.01
0.3551,8,250,0.3,0.0033,0.1,true,true,repu,0.01
0.1914,8,250,0.3,0.0033,0.1,true,true,repu,0.01
0.3863,64,250,0.3,0.0033,0.1,true,true,repu,0.01
0.2858,64,250,0.3,0.0033,0.1,true,true,repu,0.01
0.2505,64,250,0.3,0.0033,0.1,true,true,repu,0.01
0.291,64,250,0.3,0.0033,0.1,true,true,repu,0.01
0.3173,64,250,0.3,0.0033,0.1,true,true,repu,0.01
0.4972,256,250,0.3,0.0033,0.1,true,true,repu,0.01
0.3441,256,250,0.3,0.0033,0.1,true,true,repu,0.01
0.3258,256,250,0.3,0.0033,0.1,true,true,repu,0.01
0.4589,256,250,0.3,0.0033,0.1,true,true,repu,0.01
0.3378,256,250,0.3,0.0033,0.1,true,true,repu,0.01
0.4253,256,250,0.3,0.0033,0.1,true,true,repu,0.01
0.4563,256,250,0.3,0.0033,0.1,true,true,repu,0.01
0.3618,256,250,0.3,0.0033,0.1,true,true,repu,0.01
0.2941,64,250,0.3,0.0033,0.1,true,true,repu,0.01
0.3244,64,250,0.3,0.0033,0.1,true,true,repu,0.01
0.3166,64,250,0.3,0.0033,0.1,true,true,repu,0.01
0.3881,512,250,0.3,0.0033,0.1,true,true,repu,0.01
