test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm,anti_hebb_factor
0.8134,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0.1
0.7719,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0.33
0.8481,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0.1
0.8138,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0.1
0.7997,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0.33
0.8426,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0.1
0.7619,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0.33
0.7479,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0.33
0.8018,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0.33
0.7971,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0.33
0.7155,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0.33
0.8357,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0.1
0.8561,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0.1
0.7875,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0.1
0.7885,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0.1
0.8485,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0
0.8507,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0
0.8311,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0
0.8049,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0
0.6684,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0.66
0.6466,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0.66
0.7292,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0.66
0.8487,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0
0.8567,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0
0.867,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0
0.6348,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0.66
0.7331,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0.66
0.6625,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0.66
0.7406,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0.66
0.8707,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0
0.6616,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,0.66
