test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm
0.1135,1,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1032,1,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1135,1,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1135,1,250,0.1,0.0033,0.1,true,true,repu,0.01
0.098,1,250,0.1,0.0033,0.1,true,true,repu,0.01
0.4259,500,250,0.1,0.0033,0.1,true,true,repu,0.01
0.101,1,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1028,1,250,0.1,0.0033,0.1,true,true,repu,0.01
0.4308,500,250,0.1,0.0033,0.1,true,true,repu,0.01
0.397,500,250,0.1,0.0033,0.1,true,true,repu,0.01
0.1135,1,250,0.1,0.0033,0.1,true,true,repu,0.01
0.3457,500,250,0.1,0.0033,0.1,true,true,repu,0.01
0.414,500,250,0.1,0.0033,0.1,true,true,repu,0.01
0.38,500,250,0.1,0.0033,0.1,true,true,repu,0.01
0.408,500,250,0.1,0.0033,0.1,true,true,repu,0.01
0.4496,500,250,0.1,0.0033,0.1,true,true,repu,0.01
0.5283,2048,250,0.1,0.0033,0.1,true,true,repu,0.01
0.5246,2048,250,0.1,0.0033,0.1,true,true,repu,0.01
0.4602,2048,250,0.1,0.0033,0.1,true,true,repu,0.01
0.5943,2048,250,0.1,0.0033,0.1,true,true,repu,0.01
0.5073,2048,250,0.1,0.0033,0.1,true,true,repu,0.01
0.5167,2048,250,0.1,0.0033,0.1,true,true,repu,0.01
0.5662,2048,250,0.1,0.0033,0.1,true,true,repu,0.01
0.5278,2048,250,0.1,0.0033,0.1,true,true,repu,0.01
0.4577,5096,250,0.1,0.0033,0.1,true,true,repu,0.01
0.5612,5096,250,0.1,0.0033,0.1,true,true,repu,0.01
0.5444,5096,250,0.1,0.0033,0.1,true,true,repu,0.01
0.5756,5096,250,0.1,0.0033,0.1,true,true,repu,0.01
0.543,5096,250,0.1,0.0033,0.1,true,true,repu,0.01
0.6022,5096,250,0.1,0.0033,0.1,true,true,repu,0.01
0.5975,5096,250,0.1,0.0033,0.1,true,true,repu,0.01
0.5787,5096,250,0.1,0.0033,0.1,true,true,repu,0.01
0.3852,2048,250,0.1,0.0033,0.1,true,true,repu,0.01
0.4385,2048,250,0.1,0.0033,0.1,true,true,repu,0.01
0.4733,2048,250,0.1,0.0033,0.1,true,true,repu,0.01
0.5223,2048,250,0.1,0.0033,0.1,true,true,repu,0.01

