test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm
0.6251,2048,125,0.1,0.0033,0.1,true,true,repu,0.01
0.6141,2048,125,0.1,0.0033,0.1,true,true,repu,0.01
0.6357,2048,125,0.1,0.0033,0.1,true,true,repu,0.01
0.5015,2048,125,0.1,0.0033,0.1,true,true,repu,0.01
0.4453,2048,125,0.1,0.0033,0.1,true,true,repu,0.01
0.4957,2048,125,0.1,0.0033,0.1,true,true,repu,0.01
0.5516,2048,125,0.1,0.0033,0.1,true,true,repu,0.01
0.5135,2048,125,0.1,0.0033,0.1,true,true,repu,0.01
0.5312,2048,125,0.1,0.0033,0.1,true,true,repu,0.01
0.4957,2048,125,0.1,0.0033,0.1,true,true,repu,0.01
0.4717,2048,250,0.1,0.0033,0.1,true,true,repu,0.01
0.3764,2048,250,0.1,0.0033,0.1,true,true,repu,0.01
0.5457,2048,125,0.1,0.0033,0.1,true,true,repu,0.01
0.4008,2048,125,0.1,0.0033,0.1,true,true,repu,0.01
0.5016,2048,125,0.1,0.0033,0.1,true,true,repu,0.01
0.4574,2048,125,0.1,0.0033,0.1,true,true,repu,0.01
0.5462,2048,250,0.1,0.0033,0.1,true,true,repu,0.01
0.4833,2048,250,0.1,0.0033,0.1,true,true,repu,0.01
0.5257,2048,125,0.1,0.0033,0.1,true,true,repu,0.01
0.4518,2048,250,0.1,0.0033,0.1,true,true,repu,0.01
0.5313,2048,250,0.1,0.0033,0.1,true,true,repu,0.01
0.5091,2048,250,0.1,0.0033,0.1,true,true,repu,0.01
0.6263,2048,125,0.1,0.0033,0.1,true,true,repu,0.01
0.4077,2048,250,0.1,0.0033,0.1,true,true,repu,0.01
0.5329,2048,350,0.1,0.0033,0.1,true,true,repu,0.01
0.4942,2048,350,0.1,0.0033,0.1,true,true,repu,0.01
0.4176,2048,350,0.1,0.0033,0.1,true,true,repu,0.01
0.4626,2048,500,0.1,0.0033,0.1,true,true,repu,0.01
0.459,2048,500,0.1,0.0033,0.1,true,true,repu,0.01
0.5044,2048,350,0.1,0.0033,0.1,true,true,repu,0.01
0.384,2048,500,0.1,0.0033,0.1,true,true,repu,0.01
0.4176,2048,350,0.1,0.0033,0.1,true,true,repu,0.01
0.4421,2048,350,0.1,0.0033,0.1,true,true,repu,0.01
0.5014,2048,500,0.1,0.0033,0.1,true,true,repu,0.01
0.4882,2048,350,0.1,0.0033,0.1,true,true,repu,0.01
0.4729,2048,350,0.1,0.0033,0.1,true,true,repu,0.01
0.4558,2048,500,0.1,0.0033,0.1,true,true,repu,0.01
0.4755,2048,500,0.1,0.0033,0.1,true,true,repu,0.01
0.3867,2048,500,0.1,0.0033,0.1,true,true,repu,0.01
0.44,2048,500,0.1,0.0033,0.1,true,true,repu,0.01
