test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm
0.4432,2048,125,0.1,0.0033,0.1,true,true,repu,0.01
0.5558,2048,125,0.1,0.0033,0.1,true,true,repu,0.01
0.6076,2048,125,0.1,0.0033,0.1,true,true,repu,0.01
0.5525,2048,125,0.1,0.0033,0.1,true,true,repu,0.01
0.5197,2048,125,0.1,0.0033,0.1,true,true,repu,0.01
0.3855,2048,125,0.1,0.0033,0.1,true,true,repu,0.01
0.4801,2048,125,0.1,0.0033,0.1,true,true,repu,0.01
0.5442,2048,125,0.33,0.0033,0.1,true,true,repu,0.01
0.5412,2048,125,0.33,0.0033,0.1,true,true,repu,0.01
0.5659,2048,125,0.1,0.0033,0.1,true,true,repu,0.01
0.5234,2048,125,0.33,0.0033,0.1,true,true,repu,0.01
0.4699,2048,125,0.33,0.0033,0.1,true,true,repu,0.01
0.5887,2048,125,0.33,0.0033,0.1,true,true,repu,0.01
0.3884,2048,125,0.33,0.0033,0.1,true,true,repu,0.01
0.5091,2048,125,0.33,0.0033,0.1,true,true,repu,0.01
0.5622,2048,125,0.033,0.0033,0.1,true,true,repu,0.01
0.4012,2048,125,0.01,0.0033,0.1,true,true,repu,0.01
0.3165,2048,125,0.033,0.0033,0.1,true,true,repu,0.01
0.3401,2048,125,0.01,0.0033,0.1,true,true,repu,0.01
0.5094,2048,125,0.033,0.0033,0.1,true,true,repu,0.01
0.4491,2048,125,0.01,0.0033,0.1,true,true,repu,0.01
0.4603,2048,125,0.033,0.0033,0.1,true,true,repu,0.01
0.3919,2048,125,0.01,0.0033,0.1,true,true,repu,0.01
0.3602,2048,125,0.01,0.0033,0.1,true,true,repu,0.01
0.4394,2048,125,0.033,0.0033,0.1,true,true,repu,0.01
0.6003,2048,125,0.033,0.0033,0.1,true,true,repu,0.01
0.4779,2048,125,0.01,0.0033,0.1,true,true,repu,0.01
0.4211,2048,125,0.033,0.0033,0.1,true,true,repu,0.01
0.2814,2048,125,0.033,0.0033,0.1,true,true,repu,0.01
0.4737,2048,125,0.01,0.0033,0.1,true,true,repu,0.01


