test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm
0.3962,2048,125,0.1,0.0033,0.1,true,true,softmax,0.033
0.3912,2048,125,0.1,0.0033,0.1,true,true,softmax,0.033
0.3699,2048,125,0.1,0.0033,0.1,true,true,softmax,0.033
0.2769,2048,125,0.1,0.0033,0.1,true,true,softmax,0.066
0.1135,2048,125,0.1,0.0033,0.1,true,true,softmax,0.066
0.4795,2048,125,0.1,0.0033,0.1,true,true,softmax,0.066
0.4061,2048,125,0.1,0.0033,0.1,true,true,softmax,0.066
0.4876,2048,125,0.1,0.0033,0.1,true,true,softmax,0.033
0.5807,2048,125,0.1,0.0033,0.1,true,true,softmax,0.033
0.4022,2048,125,0.1,0.0033,0.1,true,true,softmax,0.033
0.4725,2048,125,0.1,0.0033,0.1,true,true,softmax,0.033
0.2867,2048,125,0.1,0.0033,0.1,true,true,softmax,0.066
0.2063,2048,125,0.1,0.0033,0.1,true,true,softmax,0.066
0.3656,2048,125,0.1,0.0033,0.1,true,true,softmax,0.066
0.2923,2048,125,0.1,0.0033,0.1,true,true,softmax,0.066
0.4821,2048,125,0.1,0.0033,0.1,true,true,softmax,0.033
0.5404,2048,125,0.1,0.0033,0.1,true,true,softmax,0.005
0.5072,2048,125,0.1,0.0033,0.1,true,true,softmax,0.005
0.6013,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01
0.5707,2048,125,0.1,0.0033,0.1,true,true,softmax,0.005
0.4687,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01
0.5933,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01
0.5516,2048,125,0.1,0.0033,0.1,true,true,softmax,0.005
0.4716,2048,125,0.1,0.0033,0.1,true,true,softmax,0.005
0.5958,2048,125,0.1,0.0033,0.1,true,true,softmax,0.005
0.4302,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01
0.5433,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01
0.7246,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01
0.629,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01
0.5553,2048,125,0.1,0.0033,0.1,true,true,softmax,0.005
0.5028,2048,125,0.1,0.0033,0.1,true,true,softmax,0.005
0.437,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01
0.3396,2048,125,0.1,0.0033,0.1,true,true,softmax,0.0005
0.5842,2048,125,0.1,0.0033,0.1,true,true,softmax,0.001
0.5673,2048,125,0.1,0.0033,0.1,true,true,softmax,0.0005
0.4945,2048,125,0.1,0.0033,0.1,true,true,softmax,0.001
0.5571,2048,125,0.1,0.0033,0.1,true,true,softmax,0.0005
0.6199,2048,125,0.1,0.0033,0.1,true,true,softmax,0.001
0.6247,2048,125,0.1,0.0033,0.1,true,true,softmax,0.0005
0.5043,2048,125,0.1,0.0033,0.1,true,true,softmax,0.001
0.4468,2048,125,0.1,0.0033,0.1,true,true,softmax,0.0005
0.4725,2048,125,0.1,0.0033,0.1,true,true,softmax,0.001
0.583,2048,125,0.1,0.0033,0.1,true,true,softmax,0.001
0.5171,2048,125,0.1,0.0033,0.1,true,true,softmax,0.001
0.5721,2048,125,0.1,0.0033,0.1,true,true,softmax,0.0005
0.5415,2048,125,0.1,0.0033,0.1,true,true,softmax,0.0005
0.5053,2048,125,0.1,0.0033,0.1,true,true,softmax,0.0005
