test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib
0.3109,1,False,2,False,True,True,RePU
0.3104,1,False,2,False,True,True,Softmax
0.3147,1,False,2,False,False,True,Softmax
0.3266,1,False,2,True,True,False,RePU
0.3257,1,False,2,True,True,True,RePU
0.3107,1,False,2,True,False,True,RePU
0.3244,1,False,2,True,False,True,Softmax

0.2934,1,False,2,False,False,True,RePU
0.3192,1,False,2,False,True,False,RePU
0.3017,1,False,2,False,False,False,Softmax
0.31,1,False,2,True,True,True,Softmax
0.3065,1,False,2,True,False,False,RePU
0.3245,1,False,2,True,False,False,Softmax
0.3033,1,False,2,True,True,False,Softmax
0.3186,1,False,2,False,False,False,RePU
0.3102,1,True,1,False,True,True,Softmax
0.3133,1,False,1,False,True,True,RePU
0.3068,1,False,1,False,True,True,Softmax
0.3161,1,True,1,False,True,True,RePU
0.32,1,True,1,True,True,False,Softmax
0.3302,1,True,1,True,False,True,Softmax
0.2772,1,False,1,True,True,False,Softmax
0.3299,1,True,1,True,False,True,RePU
0.3253,1,True,1,True,False,False,Softmax
0.3268,1,True,1,True,True,False,RePU
0.3543,1,False,1,True,False,True,RePU
0.3429,1,True,1,False,False,False,RePU
0.3321,1,True,1,False,True,False,RePU
0.3023,1,True,1,True,True,True,RePU
0.2908,1,False,1,True,False,False,RePU
0.3133,1,False,1,True,False,True,Softmax
0.3075,1,True,1,True,False,False,RePU
0.3503,1,True,1,True,True,True,Softmax
0.3282,1,True,1,False,True,False,Softmax
0.325,1,True,1,False,False,True,Softmax
0.2672,1,False,1,True,True,False,RePU
0.2829,1,False,1,False,True,False,Softmax
0.3057,1,False,1,True,True,True,Softmax
0.2771,1,False,1,False,False,False,RePU
0.2915,1,False,1,False,False,True,Softmax
0.2814,1,False,1,True,False,False,Softmax
0.2843,1,False,1,False,True,False,RePU
0.3222,1,False,1,False,False,True,RePU
0.3173,1,False,1,True,True,True,RePU
0.3093,1,True,1,False,False,True,RePU
0.3268,1,True,1,False,False,False,Softmax
0.3106,1,False,1,False,False,False,Softmax
