test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib
0.2716,1,False,2,False,True,False,Softmax
0.292,1,False,2,False,True,True,Softmax
0.2682,1,False,2,True,False,True,RePU
0.2578,1,False,2,True,True,True,Softmax
0.2783,1,False,2,True,True,True,RePU
0.2766,1,False,2,True,True,False,Softmax
0.2618,1,False,2,False,False,False,RePU
0.2718,1,False,2,True,True,False,RePU
0.2712,1,False,2,True,False,True,Softmax
0.2718,1,False,2,False,True,False,RePU
0.2701,1,False,2,False,False,True,Softmax
0.2749,1,False,2,True,False,False,Softmax
0.2809,1,False,2,False,False,False,Softmax
0.2636,1,False,2,True,False,False,RePU
0.2692,1,False,2,False,True,True,RePU
0.2745,1,False,2,False,False,True,RePU
0.2852,1,False,1,False,True,False,RePU
0.3089,1,False,1,False,True,False,Softmax
0.293,1,False,1,False,False,False,Softmax
0.2857,1,True,1,False,False,False,Softmax
0.2711,1,True,1,False,False,False,RePU
0.2946,1,True,1,False,True,True,Softmax
0.3079,1,False,1,False,True,True,Softmax
0.2755,1,False,1,True,True,True,Softmax
0.2881,1,True,1,False,True,False,RePU
0.2802,1,True,1,True,True,True,Softmax
0.2927,1,False,1,False,True,True,RePU
0.2925,1,False,1,True,False,True,RePU
0.2721,1,True,1,False,True,False,Softmax
0.2957,1,True,1,True,True,True,RePU
0.3189,1,False,1,True,True,True,RePU
0.2921,1,False,1,True,False,True,Softmax
0.2731,1,True,1,False,True,True,RePU
0.2795,1,True,1,True,True,False,RePU
0.2432,1,True,1,True,False,True,Softmax
0.307,1,False,1,False,False,False,RePU
0.2673,1,True,1,True,False,True,RePU
0.2608,1,False,1,True,True,False,RePU
0.2904,1,True,1,True,False,False,Softmax
0.2971,1,False,1,True,True,False,Softmax
0.3039,1,True,1,True,True,False,Softmax
0.3078,1,False,1,True,False,False,RePU
0.2841,1,True,1,False,False,True,Softmax
0.2925,1,True,1,False,False,True,RePU
0.3267,1,False,1,False,False,True,RePU
0.2978,1,False,1,True,False,False,Softmax
0.2707,1,True,1,True,False,False,RePU
0.2963,1,False,1,False,False,True,Softmax
0.2735,1,False,2,True,False,False,RePU
0.2872,1,False,2,False,False,False,Softmax
0.2905,1,False,2,True,False,False,Softmax
0.2588,1,False,2,True,True,True,RePU
0.2768,1,False,2,False,True,False,Softmax
0.2848,1,False,2,False,True,False,RePU
0.2777,1,False,2,True,False,True,Softmax
0.2796,1,False,2,True,False,True,RePU
0.2773,1,False,2,False,False,False,RePU
0.2693,1,False,2,False,True,True,Softmax
0.2892,1,False,2,False,True,True,RePU
0.2755,1,False,2,True,True,True,Softmax
0.2734,1,False,2,False,False,True,RePU
0.2651,1,False,2,False,False,True,Softmax
0.2639,1,False,2,True,True,False,Softmax
0.273,1,False,2,True,True,False,RePU
0.2711,1,True,1,True,False,False,Softmax
0.3143,1,False,1,True,False,False,RePU
0.2962,1,True,1,True,False,False,RePU
0.2976,1,True,1,False,False,False,Softmax
0.3197,1,False,1,True,False,True,Softmax
0.293,1,False,1,False,False,False,RePU
0.3096,1,False,1,True,True,True,RePU
0.3192,1,True,1,False,True,False,Softmax
0.2784,1,False,1,True,True,True,Softmax
0.3044,1,False,1,False,True,False,RePU
0.2785,1,False,1,True,False,False,Softmax
0.2932,1,False,1,False,True,False,Softmax
0.2927,1,True,1,True,False,True,RePU
0.2795,1,True,1,False,True,True,Softmax
0.3028,1,False,1,False,True,True,Softmax
0.3132,1,True,1,False,True,False,RePU
0.2853,1,True,1,True,False,True,Softmax
0.3195,1,False,1,True,False,True,RePU
0.2587,1,True,1,True,True,True,Softmax
0.3138,1,False,1,False,False,False,Softmax
0.2827,1,True,1,False,True,True,RePU
0.3008,1,True,1,True,True,True,RePU
0.3038,1,False,1,False,True,True,RePU
0.3139,1,False,1,True,True,False,Softmax
0.2623,1,True,1,True,True,False,RePU
0.2953,1,True,1,False,False,True,RePU
0.2993,1,False,1,True,True,False,RePU
0.2864,1,True,1,False,False,True,Softmax
0.2722,1,False,1,False,False,True,RePU
0.2556,1,True,1,True,True,False,Softmax
0.3093,1,False,1,False,False,True,Softmax
0.276,1,False,2,False,True,True,Softmax
0.2721,1,False,2,False,True,True,RePU
0.2725,1,False,2,False,False,False,RePU
0.2784,1,False,2,True,False,True,Softmax
0.2601,1,False,2,False,True,False,Softmax
0.2785,1,False,2,True,False,True,RePU
0.279,1,False,2,True,False,False,RePU
0.2624,1,False,2,True,True,True,Softmax
0.27,1,False,2,True,True,True,RePU
0.2611,1,False,2,False,True,False,RePU
0.2906,1,False,2,False,False,False,Softmax
0.2658,1,False,2,True,False,False,Softmax
0.2748,1,False,2,True,True,False,RePU
0.2689,1,False,2,False,False,True,Softmax
0.2623,1,False,2,False,False,True,RePU
0.2786,1,True,1,False,True,True,Softmax
0.2874,1,True,1,False,True,True,RePU
0.2808,1,False,2,True,True,False,Softmax
0.3036,1,False,1,False,True,True,RePU
0.2813,1,True,1,True,False,True,RePU
0.2854,1,True,1,False,False,False,RePU
0.2804,1,True,1,False,False,False,Softmax
0.2632,1,True,1,False,True,False,RePU
0.2939,1,False,1,True,False,False,RePU
0.2646,1,False,1,False,True,True,Softmax
0.3182,1,False,1,False,True,False,RePU
0.3144,1,False,1,True,False,True,RePU
0.3203,1,False,1,True,False,True,Softmax
0.2755,1,True,1,True,True,True,RePU
0.2979,1,False,1,True,True,True,RePU
0.3081,1,False,1,False,False,False,RePU
0.2972,1,True,1,True,False,False,Softmax
0.2794,1,True,1,True,False,True,Softmax
0.2784,1,False,1,False,False,False,Softmax
0.2721,1,True,1,True,False,False,RePU
0.3099,1,False,1,True,True,True,Softmax
0.2956,1,True,1,True,True,True,Softmax
0.3235,1,False,1,False,True,False,Softmax
0.3012,1,False,1,True,False,False,Softmax
0.282,1,True,1,False,True,False,Softmax
0.2699,1,True,1,True,True,False,RePU
0.3158,1,False,1,True,True,False,RePU
0.2609,1,True,1,False,False,True,RePU
0.2749,1,False,1,False,False,True,Softmax
0.3228,1,False,1,False,False,True,RePU
0.2969,1,True,1,False,False,True,Softmax
0.3396,1,False,1,True,True,False,Softmax
0.3163,1,True,1,True,True,False,Softmax
