test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib
0.2749,1,False,2,False,True,True,REPU
0.2702,1,False,2,False,True,False,REPU
0.3469,1,False,2,True,True,False,REPU
0.2744,1,False,2,False,True,False,REPU
0.2227,1,False,2,False,True,False,REPU
0.3097,1,False,2,True,True,True,REPU
0.2537,1,False,2,True,True,False,REPU
0.2011,1,False,2,True,True,True,REPU
0.3198,1,False,2,False,True,True,REPU
0.2946,1,False,2,False,True,False,REPU
0.2888,1,False,2,True,True,True,REPU
0.3359,1,False,2,False,True,False,REPU
0.2832,1,False,2,True,True,True,REPU
0.3425,1,False,2,True,True,False,REPU
0.251,1,False,2,False,True,True,REPU
0.2725,1,False,2,True,True,False,REPU
0.3461,1,False,2,True,True,False,REPU
0.2743,1,False,2,False,True,True,REPU
0.3206,1,False,2,False,True,True,REPU
0.2571,1,False,2,True,True,True,REPU
0.2522,1,False,1,False,True,False,REPU
0.2842,1,False,1,False,True,False,REPU
0.2129,1,False,1,True,True,True,REPU
0.3176,1,True,1,True,True,True,REPU
0.2642,1,True,1,False,True,True,REPU
0.3172,1,True,1,True,True,True,REPU
0.3389,1,False,1,False,True,False,REPU
0.301,1,True,1,True,True,True,REPU
0.2882,1,False,1,True,True,True,REPU
0.3372,1,False,1,False,True,True,REPU
0.3226,1,True,1,True,True,True,REPU
0.293,1,True,1,True,True,False,REPU
0.3124,1,True,1,False,True,False,REPU
0.2919,1,False,1,True,True,False,REPU
0.2811,1,True,1,True,True,True,REPU
0.2922,1,False,1,False,True,True,REPU
0.3246,1,True,1,False,True,True,REPU
0.3387,1,False,1,False,True,False,REPU
0.324,1,False,1,False,True,True,REPU

0.3367,1,False,1,False,True,True,REPU
0.2725,1,False,1,False,True,True,REPU
0.3087,1,True,1,True,True,False,REPU
0.2725,1,True,1,True,True,False,REPU
0.2506,1,True,1,False,True,False,REPU
0.31,1,False,1,True,True,False,REPU
0.2742,1,False,1,False,True,False,REPU
0.254,1,False,1,True,True,False,REPU
0.332,1,True,1,True,True,False,REPU
0.2958,1,True,1,False,True,False,REPU
0.3244,1,False,1,True,True,False,REPU
0.2803,1,True,1,False,True,True,REPU
0.2702,1,True,1,False,True,True,REPU
0.2272,1,True,1,True,True,False,REPU
0.2165,1,False,1,True,True,True,REPU
0.1668,1,True,1,False,True,False,REPU
0.3715,1,False,1,True,True,True,REPU
0.2897,1,True,1,False,True,False,REPU
