test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr,hsize,MHsigma
0.243,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,5
0.2454,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,2.5
0.2631,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,8
0.2647,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,10
0.2541,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.7
0.2577,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.1
0.2631,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2577,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,1
0.2568,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.01
0.2537,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.5
0.2619,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,1.5
0.2614,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.05
0.245,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,10
0.258,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.1
0.2481,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.01
0.2536,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.05
0.1,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0
0.2487,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,1
0.2663,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.5
0.2534,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,1.5
0.2545,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.7
0.2677,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.257,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,5
0.2489,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,8
0.2513,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,2.5
0.2651,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,10
0.2496,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2553,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,1
0.2468,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.7
0.2401,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.5
0.2524,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,1.5
0.2702,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,2.5
0.1,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0
0.2568,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,8
0.2457,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,5
0.2613,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.05
0.2393,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.1
0.2551,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.01
0.2588,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,10
0.2584,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,5
0.2418,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,2.5
0.2597,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,8
0.2486,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,1.5
0.2482,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.5
0.254,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,1
0.2568,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2522,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.7
0.2426,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.1
0.2707,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.01
0.1,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0
0.2584,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.05

^factor 1/w, mexican hat


factor 1, mexican hat:
0.1002,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,10
0.1014,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.1009,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,8
0.1002,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,1.5
0.1008,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,5
0.1004,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,2.5
0.1014,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.5
0.1002,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.7
0.1007,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,1
0.1009,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.01
0.1019,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.1
0.1007,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.05
0.1,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0


factor 1, no mexican hat:
0.1023,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,10
0.1012,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,1.5
0.1004,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,2.5
0.1013,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,5
0.1009,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,8
0.1006,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.5
0.1016,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.7
0.1006,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,1
0.1005,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.1013,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.01
0.0999,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.1
0.1018,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.05
0.1004,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0


factor 1/w, no mexican hat:
0.2489,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,10
0.2648,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2453,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.7
0.2701,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,1
0.2482,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,8
0.2615,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,5
0.2678,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,2.5
0.2635,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,1.5
0.256,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0
0.2596,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.1
