test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr,hsize,MHsigma
0.2484,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2774,1,False,2,True,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2849,1,False,2,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2564,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2598,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.326,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2749,1,False,2,True,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2602,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3409,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2829,1,False,2,True,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2885,1,False,2,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2565,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2529,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.337,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2743,1,False,2,True,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.27,1,False,2,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2414,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2385,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3389,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2861,1,False,2,True,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2835,1,False,2,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2429,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2544,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3355,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2734,1,False,2,True,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2761,1,False,2,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2737,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2587,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.34,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3353,1,False,1,True,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
