test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr
0.412,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.5
0.4459,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.1
0.487,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.001
0.4916,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.01
0.428,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.3
0.4845,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.0033
0.4717,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.0033
0.4121,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.3
0.4369,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.5
0.4625,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.01
0.4738,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.001
0.4412,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.1
0.4547,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.01
0.4288,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.1
0.4477,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.001
0.4467,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.0033
0.4243,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.3
0.3926,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.5
0.4228,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.5
0.4616,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.1
0.4878,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.001
0.4343,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.3
0.4923,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.01
0.49,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.0033
0.437,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.3
0.4698,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.01
0.4617,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.1
0.4571,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.001
0.4689,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.0033
0.3912,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.5
0.442,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.1
0.4226,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.3
