test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr,hsize,MHsigma

Hebbian classifier:

0.3366,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3265,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3417,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3326,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3381,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3477,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3393,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3457,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3401,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3466,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3381,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.339,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3393,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.335,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3361,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3328,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3439,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3297,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3367,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.332,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3287,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3362,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3312,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3373,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3492,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3334,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3372,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3377,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3284,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3

Gradient Classifier (Adam):

0.559,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.5595,1,False,1,True,True,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
