test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr
0.5181,1,False,2,True,True,True,RePU,125,0.0033,0.0001,0.001,0.01,0.001
0.4901,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.001
0.4473,1,False,2,True,True,True,RePU,125,0.03,0.0001,0.001,0.01,0.001
0.4431,1,False,2,True,True,True,RePU,125,0.1,0.0001,0.001,0.01,0.001
0.517,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001
0.4445,1,False,2,True,True,True,RePU,125,0.5,0.0001,0.001,0.01,0.001
0.4343,1,False,2,True,True,True,RePU,125,0.3,0.0001,0.001,0.01,0.001
0.4423,1,True,1,True,True,True,RePU,125,0.5,0.0001,0.001,0.01,0.001
0.444,1,False,1,True,True,True,RePU,125,0.03,0.0001,0.001,0.01,0.001
0.5268,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001
0.4629,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.001
0.4819,1,False,1,True,True,True,RePU,125,0.0033,0.0001,0.001,0.01,0.001
0.5408,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001
0.4628,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.001
0.4531,1,True,1,True,True,True,RePU,125,0.3,0.0001,0.001,0.01,0.001
0.4502,1,True,1,True,True,True,RePU,125,0.1,0.0001,0.001,0.01,0.001
0.4557,1,True,1,True,True,True,RePU,125,0.03,0.0001,0.001,0.01,0.001
0.5094,1,True,1,True,True,True,RePU,125,0.0033,0.0001,0.001,0.01,0.001
0.5146,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001
0.4803,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.001
0.4497,1,False,2,True,True,True,RePU,125,0.03,0.0001,0.001,0.01,0.001
0.5168,1,False,2,True,True,True,RePU,125,0.0033,0.0001,0.001,0.01,0.001
0.4292,1,False,2,True,True,True,RePU,125,0.1,0.0001,0.001,0.01,0.001
0.4226,1,False,2,True,True,True,RePU,125,0.5,0.0001,0.001,0.01,0.001
