test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr,hsize
0.5165,1,False,2,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5202,1,False,2,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5197,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5167,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.518,1,False,2,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5223,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5179,1,False,2,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5216,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5157,1,False,2,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5203,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5553,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5546,1,True,1,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5516,1,True,1,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5601,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5272,1,False,1,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5334,1,False,1,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5343,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.531,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5498,1,True,1,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5349,1,False,1,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5291,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5538,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5306,1,False,1,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5505,1,True,1,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5517,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5322,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5566,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5241,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5505,1,True,1,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5299,1,False,1,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5176,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5159,1,False,2,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5139,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5168,1,False,2,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5209,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5166,1,False,2,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5214,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5173,1,False,2,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5163,1,False,2,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5132,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5567,1,True,1,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5271,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5303,1,False,1,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.548,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5317,1,False,1,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5497,1,True,1,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5296,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5518,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5547,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5467,1,True,1,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.559,1,True,1,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5525,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5254,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5269,1,False,1,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5306,1,False,1,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.524,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5491,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5501,1,True,1,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5346,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5274,1,False,1,True,True,False,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
