test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr,hsize
0.4894,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,32
0.5128,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,64
0.5013,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,32
0.5185,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,128
0.4881,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,32
0.5165,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,64
0.5097,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5296,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,64
0.516,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,128
0.5409,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,128
0.5339,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5465,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.4976,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,32
0.5083,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,64
0.5127,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,32
0.5165,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,128
0.4702,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,32
0.5301,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,64
0.5121,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,64
0.517,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5397,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,128
0.5276,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,128
0.5509,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5398,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.4856,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,32
0.51,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,64
0.5124,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,32
0.5215,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,128
