test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr,hsize
0.5225,1,False,2,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5165,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5156,1,False,2,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5168,1,False,2,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5168,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5122,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5171,1,False,2,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5187,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5192,1,False,2,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5147,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5567,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5281,1,False,1,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5358,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5525,1,True,1,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5503,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5311,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5539,1,True,1,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5362,1,False,1,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5488,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5361,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5579,1,True,1,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5332,1,False,1,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.552,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5349,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5261,1,False,1,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5562,1,True,1,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5527,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5349,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5598,1,True,1,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5317,1,False,1,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5159,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5189,1,False,2,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5169,1,False,2,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5137,1,False,2,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5144,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5178,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5179,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5178,1,False,2,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5153,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5183,1,False,2,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5522,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5521,1,True,1,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5508,1,True,1,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5502,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.53,1,False,1,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5342,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5278,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5276,1,False,1,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5501,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5509,1,True,1,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5351,1,False,1,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5501,1,True,1,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5327,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.53,1,False,1,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5526,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5397,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5503,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5521,1,True,1,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5301,1,False,1,True,True,True,Softmax,125,0.001,0.0001,0.001,0.01,0.001,256
0.5345,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
