test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr
0.2813,1,False,2,True,True,True,RePU,25,0.01,0.01,0.01,0.01,0.01
0.1,1,False,2,True,True,True,RePU,5,0.01,0.01,0.01,0.01,0.01
0.1,1,False,2,True,True,True,RePU,1,0.01,0.01,0.01,0.01,0.01
0.4295,1,False,2,True,True,True,RePU,125,0.01,0.01,0.01,0.01,0.01
0.3844,1,False,2,True,True,True,RePU,500,0.01,0.01,0.01,0.01,0.01
0.4255,1,False,2,True,True,True,RePU,250,0.01,0.01,0.01,0.01,0.01
0.36,1,True,1,True,True,True,RePU,500,0.01,0.01,0.01,0.01,0.01
0.372,1,True,1,True,True,True,RePU,250,0.01,0.01,0.01,0.01,0.01
0.1,1,True,1,True,True,True,RePU,1,0.01,0.01,0.01,0.01,0.01
0.2893,1,True,1,True,True,True,RePU,25,0.01,0.01,0.01,0.01,0.01
0.4101,1,True,1,True,True,True,RePU,125,0.01,0.01,0.01,0.01,0.01
0.1,1,True,1,True,True,True,RePU,5,0.01,0.01,0.01,0.01,0.01
0.2951,1,False,1,True,True,True,RePU,25,0.01,0.01,0.01,0.01,0.01
0.3557,1,False,1,True,True,True,RePU,500,0.01,0.01,0.01,0.01,0.01
0.1006,1,False,1,True,True,True,RePU,5,0.01,0.01,0.01,0.01,0.01
0.388,1,False,1,True,True,True,RePU,125,0.01,0.01,0.01,0.01,0.01
0.337,1,False,1,True,True,True,RePU,250,0.01,0.01,0.01,0.01,0.01
0.1,1,False,1,True,True,True,RePU,1,0.01,0.01,0.01,0.01,0.01
0.4282,1,False,2,True,True,True,RePU,125,0.01,0.01,0.01,0.01,0.01
0.3746,1,False,2,True,True,True,RePU,250,0.01,0.01,0.01,0.01,0.01
0.363,1,False,2,True,True,True,RePU,500,0.01,0.01,0.01,0.01,0.01
0.2976,1,False,2,True,True,True,RePU,25,0.01,0.01,0.01,0.01,0.01
0.1,1,False,2,True,True,True,RePU,1,0.01,0.01,0.01,0.01,0.01
0.1,1,False,2,True,True,True,RePU,5,0.01,0.01,0.01,0.01,0.01
0.3362,1,True,1,True,True,True,RePU,250,0.01,0.01,0.01,0.01,0.01
