test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr

Optimal:

0.5766,1,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.5721,1,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.5738,1,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.5728,1,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.5745,1,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001

0.5418,1,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.5324,1,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.5251,1,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.5456,1,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.5343,1,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.5299,1,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.5323,1,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.5388,1,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.5401,1,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001
0.547,1,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001

