test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr,hsize
0.5192,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5169,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5173,1,False,2,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.52,1,False,2,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.524,1,False,2,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5196,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5199,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5164,1,False,2,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5142,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5214,1,False,2,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5524,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5267,1,False,1,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5501,1,True,1,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.534,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5561,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5495,1,True,1,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5282,1,False,1,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5493,1,True,1,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5271,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5463,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5287,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5292,1,False,1,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5545,1,True,1,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5508,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5314,1,False,1,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5252,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5524,1,True,1,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5472,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5295,1,False,1,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5349,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5222,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5134,1,False,2,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5164,1,False,2,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5155,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5172,1,False,2,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.517,1,False,2,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5224,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5191,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5187,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5143,1,False,2,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5555,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5581,1,True,1,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5534,1,True,1,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5525,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5319,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5522,1,True,1,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5528,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5322,1,False,1,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5318,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5327,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5284,1,False,1,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5502,1,True,1,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5295,1,False,1,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5355,1,False,1,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5374,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5564,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5362,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5257,1,False,1,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.555,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5582,1,True,1,True,False,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256





anti-hebb RePU:

0.5705,1,True,1,False,False,True,RePU,500,0.001,0.0001,0.01,0.1,0.0033,512
0.5684,1,True,1,False,True,True,RePU,500,0.001,0.0001,0.01,0.1,0.0033,512
0.5766,1,True,1,False,True,True,RePU,500,0.001,0.0001,0.01,0.1,0.0033,512
0.5788,1,True,1,False,False,True,RePU,500,0.001,0.0001,0.01,0.1,0.0033,512
0.576,1,True,1,False,False,True,RePU,500,0.001,0.0001,0.01,0.1,0.0033,512
0.574,1,True,1,False,True,True,RePU,500,0.001,0.0001,0.01,0.1,0.0033,512
0.579,1,True,1,False,False,True,RePU,500,0.001,0.0001,0.01,0.1,0.0033,512
0.5727,1,True,1,False,True,True,RePU,500,0.001,0.0001,0.01,0.1,0.0033,512
0.5715,1,True,1,False,False,True,RePU,500,0.001,0.0001,0.01,0.1,0.0033,512
0.5811,1,True,1,False,True,True,RePU,500,0.001,0.0001,0.01,0.1,0.0033,512
