test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr,hsize
0.5167,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5206,1,False,2,False,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5103,1,False,2,False,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5231,1,False,2,False,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5168,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5163,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5214,1,False,2,False,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5154,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5185,1,False,2,False,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5125,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5508,1,True,1,False,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5462,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5474,1,True,1,False,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.549,1,True,1,False,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5349,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5232,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5513,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5575,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5285,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5316,1,False,1,False,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5342,1,False,1,False,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5323,1,False,1,False,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5506,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5326,1,False,1,False,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5537,1,True,1,False,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.53,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5369,1,False,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5299,1,False,1,False,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5514,1,True,1,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5516,1,True,1,False,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5148,1,False,2,False,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5161,1,False,2,False,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.5176,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.516,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
0.516,1,False,2,True,True,True,RePU,125,0.001,0.0001,0.001,0.01,0.001,256
