test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr
0.482,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.01,0.01,0.01
0.4857,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.01
0.4788,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.5,0.01,0.01
0.4791,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.3,0.01,0.01
0.4879,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.1,0.01,0.01
0.4876,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.0033,0.01,0.01
0.4619,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.5,0.01,0.01
0.4788,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.1,0.01,0.01
0.4789,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.3,0.01,0.01
0.4715,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.0033,0.01,0.01
0.4677,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.01,0.01,0.01
0.4564,1,True,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.01
0.4523,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.1,0.01,0.01
0.4531,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.0033,0.01,0.01
0.4495,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.01
0.46,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.3,0.01,0.01
0.4575,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.01,0.01,0.01
0.4444,1,False,1,True,True,True,RePU,125,0.01,0.0001,0.5,0.01,0.01
0.4972,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.001,0.01,0.01
0.4834,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.3,0.01,0.01
0.4809,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.1,0.01,0.01
0.4931,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.0033,0.01,0.01
0.4928,1,False,2,True,True,True,RePU,125,0.01,0.0001,0.5,0.01,0.01
