test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm
0.8771,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.882,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8865,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8844,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.89,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8787,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8825,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8824,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.9043,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8768,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8874,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8861,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8648,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8869,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8937,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8737,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8816,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.887,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8854,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8839,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8765,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8802,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8966,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8884,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8635,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8814,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8894,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8934,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8941,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8769,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.889,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.887,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8865,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8905,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8781,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8905,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8767,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8803,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8921,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8925,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8905,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8782,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8906,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8866,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8827,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8757,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8763,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8962,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8844,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8982,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.89,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01

0.9023,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8929,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8887,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.4485,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.5074,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.4727,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.5148,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.4785,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.4263,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.3766,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.4422,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.4963,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.5199,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
