test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm,num_layers

0.8633,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,3
0.8593,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,3
0.8671,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,3
0.876,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,3
0.8737,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,3
0.8735,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,3
0.8512,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,3
0.8453,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,3
0.8499,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,3
0.8539,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,3
0.8448,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,4
0.8549,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,4
0.8464,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,4
0.8566,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,4
0.8277,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,4
0.8492,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,4
0.8397,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,4
0.8615,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,4
0.8545,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,4
0.8278,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,4
0.8495,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,5
0.837,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,5
0.8545,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,5
0.8629,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,5
0.8476,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,5
0.8336,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,5
0.8673,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,5
0.8615,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,5
0.8347,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,5
0.8565,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,5
0.8687,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,2
0.8472,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,2
0.8475,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,2
0.8707,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,2
0.8519,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,2
0.8715,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,2
0.8596,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,2
0.8567,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,2
0.8759,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,2
0.8654,512,250,0.3,0.0033,0.1,true,true,softmax,0.01,2

0.837,256,250,0.3,0.0033,0.1,true,true,softmax,0.01,2
0.8328,256,250,0.3,0.0033,0.1,true,true,softmax,0.01,2
0.8626,256,250,0.3,0.0033,0.1,true,true,softmax,0.01,2
0.837,256,250,0.3,0.0033,0.1,true,true,softmax,0.01,2
0.8398,256,250,0.3,0.0033,0.1,true,true,softmax,0.01,3
0.8501,256,250,0.3,0.0033,0.1,true,true,softmax,0.01,2
0.8404,256,250,0.3,0.0033,0.1,true,true,softmax,0.01,2
0.8248,256,250,0.3,0.0033,0.1,true,true,softmax,0.01,2
0.8125,256,250,0.3,0.0033,0.1,true,true,softmax,0.01,2
0.8374,256,250,0.3,0.0033,0.1,true,true,softmax,0.01,2
0.815,256,250,0.3,0.0033,0.1,true,true,softmax,0.01,2
0.8238,256,250,0.3,0.0033,0.1,true,true,softmax,0.01,3
0.8123,256,250,0.3,0.0033,0.1,true,true,softmax,0.01,4
0.8626,256,250,0.3,0.0033,0.1,true,true,softmax,0.01,3
