test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func
0.7286,128,5,0.01,0.001,0.01,false,true,repu
0.7178,128,5,0.01,0.1,0.01,false,true,repu
0.7282,128,5,0.01,0,0.01,false,true,repu
0.7129,128,5,0.01,0,0.01,false,true,repu
0.7714,128,5,0.01,0.1,0.01,false,true,repu
0.5879,128,5,0.01,0,0.01,false,true,repu
0.6548,128,5,0.01,0,0.01,false,true,repu
0.6312,128,5,0.01,0.001,0.01,false,true,repu
0.724,128,5,0.01,0,0.01,false,true,repu
0.6195,128,5,0.01,0,0.01,false,true,repu
0.6542,128,5,0.01,0,0.01,false,true,repu
0.7652,128,5,0.01,0.1,0.01,false,true,repu
0.6822,128,5,0.01,0,0.01,false,true,repu
0.6655,128,5,0.01,0,0.01,false,true,repu
0.6882,128,5,0.01,0.001,0.01,false,true,repu
0.6594,128,5,0.01,0.1,0.01,false,true,repu
0.658,128,5,0.01,0.1,0.01,false,true,repu
0.7604,128,5,0.01,0.1,0.01,false,true,repu
0.6974,128,5,0.01,0.1,0.01,false,true,repu
0.7425,128,5,0.01,0.001,0.01,false,true,repu
0.7465,128,5,0.01,0.001,0.01,false,true,repu
0.6858,128,5,0.01,0,0.01,false,true,repu
0.6815,128,5,0.01,0.001,0.01,false,true,repu
0.7476,128,5,0.01,0.1,0.01,false,true,repu
0.8044,128,5,0.01,0.1,0.01,false,true,repu
0.6903,128,5,0.01,0.001,0.01,false,true,repu
0.6554,128,5,0.01,0.001,0.01,false,true,repu
0.6884,128,5,0.01,0.001,0.01,false,true,repu
0.6718,128,5,0.01,0.001,0.01,false,true,repu
0.7173,128,5,0.01,0.1,0.01,false,true,repu
0.5774,128,25,0.01,0.1,0.01,false,true,repu
0.7422,128,25,0.01,0.1,0.01,false,true,repu
0.4853,128,1,0.01,0.1,0.01,false,true,repu
0.6276,128,25,0.01,0.1,0.01,false,true,repu
0.5791,128,5,0.01,0.1,0.01,false,true,repu
0.732,128,5,0.01,0.1,0.01,false,true,repu
0.5265,128,5,0.01,0.1,0.01,false,true,repu
0.4448,128,1,0.01,0.1,0.01,false,true,repu
0.4315,128,1,0.01,0.1,0.01,false,true,repu
0.6835,128,25,0.01,0.1,0.01,false,true,repu
0.5838,128,5,0.01,0.1,0.01,false,true,repu
0.7225,128,5,0.01,0.1,0.01,false,true,repu
0.7157,128,25,0.01,0.1,0.01,false,true,repu
0.7747,128,25,0.01,0.1,0.01,false,true,repu
0.7062,128,25,0.01,0.1,0.01,false,true,repu
0.725,128,5,0.01,0.1,0.01,false,true,repu
0.3276,128,1,0.01,0.1,0.01,false,true,repu
0.4769,128,1,0.01,0.1,0.01,false,true,repu
0.7183,128,5,0.01,0.1,0.01,false,true,repu
0.6714,128,5,0.01,0.1,0.01,false,true,repu
0.3218,128,1,0.01,0.1,0.01,false,true,repu
0.6937,128,25,0.01,0.1,0.01,false,true,repu
0.691,128,25,0.01,0.1,0.01,false,true,repu
0.4867,128,1,0.01,0.1,0.01,false,true,repu
0.471,128,1,0.01,0.1,0.01,false,true,repu
0.4294,128,1,0.01,0.1,0.01,false,true,repu
0.6683,128,25,0.01,0.1,0.01,false,true,repu
0.3716,128,1,0.01,0.1,0.01,false,true,repu
0.6455,128,5,0.1,0.1,0.01,false,true,repu
0.6441,128,5,0.1,0.1,0.01,false,true,repu
0.6233,128,5,0.01,0.1,0.01,false,true,repu
0.098,128,5,0.0001,0.1,0.01,false,true,repu
0.2428,128,5,0.0001,0.1,0.01,false,true,repu
0.0958,128,5,0.0001,0.1,0.01,false,true,repu
0.745,128,5,0.01,0.1,0.01,false,true,repu
0.1458,128,5,0.0001,0.1,0.01,false,true,repu
0.5509,128,5,0.1,0.1,0.01,false,true,repu
0.6585,128,5,0.01,0.1,0.01,false,true,repu
0.653,128,5,0.1,0.1,0.01,false,true,repu
0.6753,128,5,0.01,0.1,0.01,false,true,repu
0.6742,128,5,0.01,0.1,0.01,false,true,repu
0.4367,128,5,0.1,0.1,0.01,false,true,repu
0.6488,128,5,0.1,0.1,0.01,false,true,repu
0.5096,128,5,0.1,0.1,0.01,false,true,repu
0.7138,128,5,0.01,0.1,0.01,false,true,repu
0.73,128,5,0.01,0.1,0.01,false,true,repu
0.1178,128,5,0.0001,0.1,0.01,false,true,repu
0.1948,128,5,0.0001,0.1,0.01,false,true,repu
0.5704,128,5,0.01,0.1,0.01,false,true,repu
0.0871,128,5,0.0001,0.1,0.01,false,true,repu
0.155,128,5,0.0001,0.1,0.01,false,true,repu
0.098,128,5,0.0001,0.1,0.01,false,true,repu
0.098,128,5,0.0001,0.1,0.01,false,true,repu
0.6575,128,5,0.1,0.1,0.01,false,true,repu
0.6491,128,5,0.1,0.1,0.01,false,true,repu
0.3114,128,5,0.01,0.001,0,false,true,repu
0.2717,128,5,0.01,0.001,0,false,true,repu
0.1293,128,5,0.01,0.001,0,false,true,repu
0.276,128,5,0.01,0.001,0,false,true,repu
0.098,128,5,0.01,0.001,0,false,true,repu
0.292,128,5,0.01,0.001,0,false,true,repu
0.4825,128,5,0.01,0.001,0.001,false,true,repu
0.7677,128,5,0.01,0.001,0.01,false,true,repu
0.6915,128,5,0.01,0.001,0.01,false,true,repu
0.1135,128,5,0.01,0.001,0,false,true,repu
0.175,128,5,0.01,0.001,0.001,false,true,repu
0.2147,128,5,0.01,0.001,0,false,true,repu
0.1138,128,5,0.01,0.001,0.001,false,true,repu
0.7223,128,5,0.01,0.001,0.01,false,true,repu
0.1783,128,5,0.01,0.001,0.001,false,true,repu
0.5764,128,5,0.01,0.001,0.01,false,true,repu
0.1401,128,5,0.01,0.001,0.001,false,true,repu
0.3993,128,5,0.01,0.001,0.01,false,true,repu
0.6571,128,5,0.01,0.001,0.01,false,true,repu
0.1292,128,5,0.01,0.001,0.01,false,true,repu
0.3633,128,5,0.01,0.001,0.001,false,true,repu
0.5902,128,5,0.01,0.001,0.01,false,true,repu
0.6492,128,5,0.01,0.001,0.01,false,true,repu
0.6914,128,5,0.01,0.001,0.01,false,true,repu
0.4534,128,5,0.01,0.001,0.001,false,true,repu
0.7851,128,5,0.01,0.1,0.01,true,true,repu
0.7981,128,5,0.01,0.1,0.01,true,true,repu
0.7633,128,5,0.01,0.1,0.01,true,true,repu
0.7014,128,5,0.01,0.1,0.01,true,true,repu
0.677,128,5,0.01,0.1,0.01,true,true,repu
0.6432,128,5,0.01,0.1,0.01,true,true,repu
0.6007,128,5,0.01,0.1,0.01,true,true,repu
0.7016,128,5,0.01,0.1,0.01,true,true,repu
0.7572,128,5,0.01,0.1,0.01,true,true,repu
0.6336,128,5,0.01,0.1,0.01,true,true,repu
0.6404,128,5,0.01,0.1,0.01,true,false,repu
0.756,128,5,0.01,0.1,0.01,true,false,repu
0.6281,128,5,0.01,0.1,0.01,true,false,repu
0.6821,128,5,0.01,0.1,0.01,true,false,repu
0.7876,128,5,0.01,0.1,0.01,true,false,repu
0.6934,128,5,0.01,0.1,0.01,true,false,repu
0.6294,128,5,0.01,0.1,0.01,true,false,repu
0.6226,128,5,0.01,0.1,0.01,true,false,repu
0.6758,128,5,0.01,0.1,0.01,true,false,repu
0.747,128,5,0.01,0.1,0.01,true,false,repu
0.5378,32,5,0.01,0.1,0.01,true,true,repu
0.5417,32,5,0.01,0.1,0.01,true,true,repu
0.5921,64,5,0.01,0.1,0.01,true,true,repu
0.714,64,5,0.01,0.1,0.01,true,true,repu
