test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm
0.8841,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8909,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8892,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8788,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8999,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.9082,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8987,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8996,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.9039,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.899,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8965,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8997,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8894,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8971,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8998,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8942,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8986,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.9013,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.9024,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8981,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8977,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.9046,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8948,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.9046,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8934,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.9147,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.9092,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8765,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8953,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8971,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8964,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.9105,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.9038,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8837,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.9069,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8919,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.896,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8904,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.9069,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8959,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8979,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.896,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.911,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.9019,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8958,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8953,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8944,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.9065,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.9047,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.9018,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.9035,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8963,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
