test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm
0.8807,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.886,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8902,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8866,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8957,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8883,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8863,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8845,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8934,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8928,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.121,2048,250,0.3,0.0033,0.1,true,true,repu,0.01
0.098,2048,250,0.3,0.0033,0.1,true,true,repu,0.01
0.1015,2048,250,0.3,0.0033,0.1,true,true,repu,0.01
0.1017,2048,250,0.3,0.0033,0.1,true,true,repu,0.01
0.098,2048,250,0.3,0.0033,0.1,true,true,repu,0.01
0.1243,2048,250,0.3,0.0033,0.1,true,true,repu,0.01
0.098,2048,250,0.3,0.0033,0.1,true,true,repu,0.01
0.1214,2048,250,0.3,0.0033,0.1,true,true,repu,0.01
0.1066,2048,250,0.3,0.0033,0.1,true,true,repu,0.01
0.0976,2048,250,0.3,0.0033,0.1,true,true,repu,0.01
