test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm
0.6148,32,243,0.3,0.01,0.01,true,true,softmax,0.01
0.6728,32,243,0.3,0.01,0.01,true,true,softmax,0.01
0.6475,32,243,0.3,0.01,0.01,true,true,softmax,0.01
0.6709,32,243,0.3,0.01,0.01,true,true,softmax,0.01
0.6075,32,243,0.3,0.01,0.01,true,true,softmax,0.01
0.7521,64,243,0.3,0.01,0.01,true,true,softmax,0.01
0.6408,32,243,0.3,0.01,0.01,true,true,softmax,0.01
0.7243,64,243,0.3,0.01,0.01,true,true,softmax,0.01
0.7278,64,243,0.3,0.01,0.01,true,true,softmax,0.01
0.831,256,243,0.3,0.01,0.01,true,true,softmax,0.01
0.7523,64,243,0.3,0.01,0.01,true,true,softmax,0.01
0.6902,64,243,0.3,0.01,0.01,true,true,softmax,0.01
0.6657,32,243,0.3,0.01,0.01,true,true,softmax,0.01
0.7548,64,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8498,256,243,0.3,0.01,0.01,true,true,softmax,0.01
0.6426,32,243,0.3,0.01,0.01,true,true,softmax,0.01
0.7277,64,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8186,256,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8455,256,243,0.3,0.01,0.01,true,true,softmax,0.01
0.6144,32,243,0.3,0.01,0.01,true,true,softmax,0.01
0.7251,64,243,0.3,0.01,0.01,true,true,softmax,0.01
0.7789,64,243,0.3,0.01,0.01,true,true,softmax,0.01
0.7957,256,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8608,512,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8487,256,243,0.3,0.01,0.01,true,true,softmax,0.01
0.6792,32,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8333,256,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8681,512,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8108,256,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8322,256,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8568,512,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8671,512,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8442,512,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8506,256,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8549,512,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8539,512,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8445,512,243,0.3,0.01,0.01,true,true,softmax,0.01
0.851,512,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8739,1024,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8455,512,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8741,1024,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8736,1024,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8639,1024,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8682,1024,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8902,1024,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8683,1024,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8841,1024,243,0.3,0.01,0.01,true,true,softmax,0.01
0.873,1024,243,0.3,0.01,0.01,true,true,softmax,0.01
0.879,1024,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8797,2048,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8817,2048,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8843,2048,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8882,2048,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8956,2048,243,0.3,0.01,0.01,true,true,softmax,0.01
0.89,2048,243,0.3,0.01,0.01,true,true,softmax,0.01
0.883,2048,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8957,2048,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8767,2048,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8755,2048,243,0.3,0.01,0.01,true,true,softmax,0.01
0.9043,5096,243,0.3,0.01,0.01,true,true,softmax,0.01
0.897,5096,243,0.3,0.01,0.01,true,true,softmax,0.01
0.9025,5096,243,0.3,0.01,0.01,true,true,softmax,0.01
0.9008,5096,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8984,5096,243,0.3,0.01,0.01,true,true,softmax,0.01
0.9087,5096,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8972,5096,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8959,5096,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8975,5096,243,0.3,0.01,0.01,true,true,softmax,0.01
0.8913,5096,243,0.3,0.01,0.01,true,true,softmax,0.01
