test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm
0.8792,2048,250,0.3,0.0033,0.5,true,true,softmax,0.01
0.8942,2048,250,0.3,0.0033,0.5,true,true,softmax,0.01
0.8893,2048,250,0.3,0.0033,0.5,true,true,softmax,0.01
0.8863,2048,250,0.3,0.0033,0.5,true,true,softmax,0.01
0.8755,2048,250,0.3,0.0033,0.001,true,true,softmax,0.01
0.8802,2048,250,0.3,0.0033,0.001,true,true,softmax,0.01
0.8975,2048,250,0.3,0.0033,0.3,true,true,softmax,0.01
0.8857,2048,250,0.3,0.0033,0.3,true,true,softmax,0.01
0.8906,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8775,2048,250,0.3,0.0033,0.001,true,true,softmax,0.01
0.8939,2048,250,0.3,0.0033,0.001,true,true,softmax,0.01
0.8879,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8905,2048,250,0.3,0.0033,0.3,true,true,softmax,0.01
0.8914,2048,250,0.3,0.0033,0.3,true,true,softmax,0.01
0.8908,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.879,2048,250,0.3,0.0033,0.001,true,true,softmax,0.01
0.8942,2048,250,0.3,0.0033,0.01,true,true,softmax,0.01
0.9021,2048,250,0.3,0.0033,0.0033,true,true,softmax,0.01
0.8989,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8852,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8851,2048,250,0.3,0.0033,0.5,true,true,softmax,0.01
0.8724,2048,250,0.3,0.0033,0.03,true,true,softmax,0.01
0.883,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8851,2048,250,0.3,0.0033,0.3,true,true,softmax,0.01
0.8862,2048,250,0.3,0.0033,0.01,true,true,softmax,0.01
0.884,2048,250,0.3,0.0033,0.03,true,true,softmax,0.01
0.8799,2048,250,0.3,0.0033,0.01,true,true,softmax,0.01
0.9003,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8837,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8865,2048,250,0.3,0.0033,0.01,true,true,softmax,0.01
0.9032,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8771,2048,250,0.3,0.0033,0.5,true,true,softmax,0.01
0.8784,2048,250,0.3,0.0033,0.0033,true,true,softmax,0.01
0.8877,2048,250,0.3,0.0033,0.01,true,true,softmax,0.01
0.8879,2048,250,0.3,0.0033,0.3,true,true,softmax,0.01
0.8887,2048,250,0.3,0.0033,0.0033,true,true,softmax,0.01
0.8916,2048,250,0.3,0.0033,0.001,true,true,softmax,0.01
0.8773,2048,250,0.3,0.0033,0.3,true,true,softmax,0.01
0.8892,2048,250,0.3,0.0033,0.0033,true,true,softmax,0.01
0.8776,2048,250,0.3,0.0033,0.5,true,true,softmax,0.01
0.9016,2048,250,0.3,0.0033,0.3,true,true,softmax,0.01
0.896,2048,250,0.3,0.0033,0.01,true,true,softmax,0.01
0.8851,2048,250,0.3,0.0033,0.5,true,true,softmax,0.01
0.9036,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8848,2048,250,0.3,0.0033,0.5,true,true,softmax,0.01
0.8895,2048,250,0.3,0.0033,0.01,true,true,softmax,0.01
0.8803,2048,250,0.3,0.0033,0.0033,true,true,softmax,0.01
0.8875,2048,250,0.3,0.0033,0.01,true,true,softmax,0.01
0.8806,2048,250,0.3,0.0033,0.0033,true,true,softmax,0.01
0.9018,2048,250,0.3,0.0033,0.03,true,true,softmax,0.01
0.8808,2048,250,0.3,0.0033,0.03,true,true,softmax,0.01
0.8936,2048,250,0.3,0.0033,0.03,true,true,softmax,0.01
0.8903,2048,250,0.3,0.0033,0.3,true,true,softmax,0.01
0.883,2048,250,0.3,0.0033,0.01,true,true,softmax,0.01
0.8977,2048,250,0.3,0.0033,0.0033,true,true,softmax,0.01
0.8753,2048,250,0.3,0.0033,0.03,true,true,softmax,0.01
0.9022,2048,250,0.3,0.0033,0.0033,true,true,softmax,0.01
0.8822,2048,250,0.3,0.0033,0.03,true,true,softmax,0.01
0.8864,2048,250,0.3,0.0033,0.03,true,true,softmax,0.01
0.8907,2048,250,0.3,0.0033,0.03,true,true,softmax,0.01
0.8699,2048,250,0.3,0.0033,0.001,true,true,softmax,0.01
0.8902,2048,250,0.3,0.0033,0.001,true,true,softmax,0.01
0.8957,2048,250,0.3,0.0033,0.001,true,true,softmax,0.01
