test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm
0.8905,5096,500,0.3,0.01,0.01,true,true,softmax,0.01
0.9066,5096,500,0.3,0.01,0.01,true,true,softmax,0.01
0.9041,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.098,5096,25,0.3,0.01,0.01,true,true,softmax,0.01
0.098,5096,25,0.3,0.01,0.01,true,true,softmax,0.01
0.098,5096,25,0.3,0.01,0.01,true,true,softmax,0.01
0.9053,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.91,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8913,5096,500,0.3,0.01,0.01,true,true,softmax,0.01
0.9,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.9028,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.098,5096,125,0.3,0.01,0.01,true,true,softmax,0.01
0.9028,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.098,5096,125,0.3,0.01,0.01,true,true,softmax,0.01
0.098,5096,125,0.3,0.01,0.01,true,true,softmax,0.01
0.098,5096,25,0.3,0.01,0.01,true,true,softmax,0.01
0.8935,5096,250,0.3,0.01,0.01,true,true,softmax,0.01
0.8958,5096,500,0.3,0.01,0.01,true,true,softmax,0.01
0.098,5096,25,0.3,0.01,0.01,true,true,softmax,0.01
0.098,5096,5,0.3,0.01,0.01,true,true,softmax,0.01
0.8983,5096,500,0.3,0.01,0.01,true,true,softmax,0.01
0.8892,5096,500,0.3,0.01,0.01,true,true,softmax,0.01
0.098,5096,5,0.3,0.01,0.01,true,true,softmax,0.01
0.098,5096,5,0.3,0.01,0.01,true,true,softmax,0.01
0.9018,5096,500,0.3,0.01,0.01,true,true,softmax,0.01
0.098,5096,5,0.3,0.01,0.01,true,true,softmax,0.01
0.098,5096,25,0.3,0.01,0.01,true,true,softmax,0.01
0.098,5096,125,0.3,0.01,0.01,true,true,softmax,0.01
0.098,5096,5,0.3,0.01,0.01,true,true,softmax,0.01
0.8825,5096,500,0.3,0.01,0.01,true,true,softmax,0.01
0.098,5096,5,0.3,0.01,0.01,true,true,softmax,0.01
0.098,5096,5,0.3,0.01,0.01,true,true,softmax,0.01
0.8998,5096,125,0.3,0.01,0.01,true,true,softmax,0.01
0.8958,5096,125,0.3,0.01,0.01,true,true,softmax,0.01
0.098,5096,25,0.3,0.01,0.01,true,true,softmax,0.01
0.098,5096,25,0.3,0.01,0.01,true,true,softmax,0.01
0.905,5096,125,0.3,0.01,0.01,true,true,softmax,0.01
0.9019,5096,125,0.3,0.01,0.01,true,true,softmax,0.01
0.9051,5096,125,0.3,0.01,0.01,true,true,softmax,0.01
0.098,5096,5,0.3,0.01,0.01,true,true,softmax,0.01
0.098,5096,25,0.3,0.01,0.01,true,true,softmax,0.01
0.9091,5096,125,0.3,0.01,0.01,true,true,softmax,0.01
