test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm
0.4597,2048,250,0.0033,0.0033,0.1,true,true,softmax,0.01
0.3065,2048,250,0.001,0.0033,0.1,true,true,softmax,0.01
0.8615,2048,250,0.5,0.0033,0.1,true,true,softmax,0.01
0.1165,2048,250,0.001,0.0033,0.1,true,true,softmax,0.01
0.8807,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.5757,2048,250,0.01,0.0033,0.1,true,true,softmax,0.01
0.8648,2048,250,0.1,0.0033,0.1,true,true,softmax,0.01
0.2587,2048,250,0.001,0.0033,0.1,true,true,softmax,0.01
0.886,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8902,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.1009,2048,250,0.001,0.0033,0.1,true,true,softmax,0.01
0.4532,2048,250,0.0033,0.0033,0.1,true,true,softmax,0.01
0.2452,2048,250,0.001,0.0033,0.1,true,true,softmax,0.01
0.8866,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8957,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.5903,2048,250,0.01,0.0033,0.1,true,true,softmax,0.01
0.8629,2048,250,0.1,0.0033,0.1,true,true,softmax,0.01
0.8892,2048,250,0.5,0.0033,0.1,true,true,softmax,0.01
0.5893,2048,250,0.01,0.0033,0.1,true,true,softmax,0.01
0.3723,2048,250,0.0033,0.0033,0.1,true,true,softmax,0.01
0.6137,2048,250,0.01,0.0033,0.1,true,true,softmax,0.01
0.8739,2048,250,0.5,0.0033,0.1,true,true,softmax,0.01
0.8883,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.4934,2048,250,0.0033,0.0033,0.1,true,true,softmax,0.01
0.8841,2048,250,0.1,0.0033,0.1,true,true,softmax,0.01
0.2582,2048,250,0.0033,0.0033,0.1,true,true,softmax,0.01
0.5998,2048,250,0.01,0.0033,0.1,true,true,softmax,0.01
0.6025,2048,250,0.01,0.0033,0.1,true,true,softmax,0.01
0.1206,2048,250,0.001,0.0033,0.1,true,true,softmax,0.01
0.1397,2048,250,0.001,0.0033,0.1,true,true,softmax,0.01
0.5318,2048,250,0.01,0.0033,0.1,true,true,softmax,0.01
0.8863,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.3958,2048,250,0.0033,0.0033,0.1,true,true,softmax,0.01
0.8777,2048,250,0.5,0.0033,0.1,true,true,softmax,0.01
0.8873,2048,250,0.5,0.0033,0.1,true,true,softmax,0.01
0.892,2048,250,0.5,0.0033,0.1,true,true,softmax,0.01
0.4644,2048,250,0.0033,0.0033,0.1,true,true,softmax,0.01
0.8489,2048,250,0.5,0.0033,0.1,true,true,softmax,0.01
0.6416,2048,250,0.01,0.0033,0.1,true,true,softmax,0.01
0.5707,2048,250,0.01,0.0033,0.1,true,true,softmax,0.01
0.8845,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8741,2048,250,0.5,0.0033,0.1,true,true,softmax,0.01
0.1011,2048,250,0.001,0.0033,0.1,true,true,softmax,0.01
0.2655,2048,250,0.001,0.0033,0.1,true,true,softmax,0.01
0.8934,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8813,2048,250,0.5,0.0033,0.1,true,true,softmax,0.01
0.5796,2048,250,0.01,0.0033,0.1,true,true,softmax,0.01
0.4392,2048,250,0.0033,0.0033,0.1,true,true,softmax,0.01
0.8949,2048,250,0.1,0.0033,0.1,true,true,softmax,0.01
0.8727,2048,250,0.1,0.0033,0.1,true,true,softmax,0.01
0.8928,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.1572,2048,250,0.001,0.0033,0.1,true,true,softmax,0.01
0.3743,2048,250,0.0033,0.0033,0.1,true,true,softmax,0.01
0.8747,2048,250,0.1,0.0033,0.1,true,true,softmax,0.01
0.8796,2048,250,0.1,0.0033,0.1,true,true,softmax,0.01
0.8742,2048,250,0.1,0.0033,0.1,true,true,softmax,0.01
0.8684,2048,250,0.1,0.0033,0.1,true,true,softmax,0.01
0.8676,2048,250,0.5,0.0033,0.1,true,true,softmax,0.01

