test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm
0.8826,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.6677,2048,250,0.3,0.0033,0.1,true,true,softmax,0.001
0.8691,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8277,2048,250,0.3,0.0033,0.1,true,true,softmax,0.0033
0.8797,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.1008,2048,250,0.3,0.0033,0.1,true,true,softmax,0.3
0.9026,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.2908,2048,250,0.3,0.0033,0.1,true,true,softmax,0.0001
0.8157,2048,250,0.3,0.0033,0.1,true,true,softmax,0.0033
0.3372,2048,250,0.3,0.0033,0.1,true,true,softmax,0.0001
0.821,2048,250,0.3,0.0033,0.1,true,true,softmax,0.0033
0.6756,2048,250,0.3,0.0033,0.1,true,true,softmax,0.001
0.8743,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8249,2048,250,0.3,0.0033,0.1,true,true,softmax,0.0033
0.3187,2048,250,0.3,0.0033,0.1,true,true,softmax,0.0001
0.3899,2048,250,0.3,0.0033,0.1,true,true,softmax,0.1
0.6792,2048,250,0.3,0.0033,0.1,true,true,softmax,0.001
0.8969,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.2494,2048,250,0.3,0.0033,0.1,true,true,softmax,0.1
0.3265,2048,250,0.3,0.0033,0.1,true,true,softmax,0.0001
0.0974,2048,250,0.3,0.0033,0.1,true,true,softmax,0.3
0.6652,2048,250,0.3,0.0033,0.1,true,true,softmax,0.001
0.0661,2048,250,0.3,0.0033,0.1,true,true,softmax,0.3
0.4556,2048,250,0.3,0.0033,0.1,true,true,softmax,0.1
0.4582,2048,250,0.3,0.0033,0.1,true,true,softmax,0.1
0.7935,2048,250,0.3,0.0033,0.1,true,true,softmax,0.0033
0.3006,2048,250,0.3,0.0033,0.1,true,true,softmax,0.0001
0.1894,2048,250,0.3,0.0033,0.1,true,true,softmax,0.3
0.6802,2048,250,0.3,0.0033,0.1,true,true,softmax,0.001
0.888,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.1028,2048,250,0.3,0.0033,0.1,true,true,softmax,0.3
0.8226,2048,250,0.3,0.0033,0.1,true,true,softmax,0.0033
0.4382,2048,250,0.3,0.0033,0.1,true,true,softmax,0.1
0.3331,2048,250,0.3,0.0033,0.1,true,true,softmax,0.0001
0.1706,2048,250,0.3,0.0033,0.1,true,true,softmax,0.3
0.8129,2048,250,0.3,0.0033,0.1,true,true,softmax,0.0033
0.6957,2048,250,0.3,0.0033,0.1,true,true,softmax,0.001
0.3029,2048,250,0.3,0.0033,0.1,true,true,softmax,0.0001
0.5669,2048,250,0.3,0.0033,0.1,true,true,softmax,0.1
0.1032,2048,250,0.3,0.0033,0.1,true,true,softmax,0.3
0.6698,2048,250,0.3,0.0033,0.1,true,true,softmax,0.001
0.3578,2048,250,0.3,0.0033,0.1,true,true,softmax,0.1
0.6499,2048,250,0.3,0.0033,0.1,true,true,softmax,0.001
0.3143,2048,250,0.3,0.0033,0.1,true,true,softmax,0.0001
0.8114,2048,250,0.3,0.0033,0.1,true,true,softmax,0.0033
0.8357,2048,250,0.3,0.0033,0.1,true,true,softmax,0.0033
0.1439,2048,250,0.3,0.0033,0.1,true,true,softmax,0.3
0.1135,2048,250,0.3,0.0033,0.1,true,true,softmax,0.3
0.3634,2048,250,0.3,0.0033,0.1,true,true,softmax,0.0001
0.7085,2048,250,0.3,0.0033,0.1,true,true,softmax,0.001
0.098,2048,250,0.3,0.0033,0.1,true,true,softmax,0.3
0.8865,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8857,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8953,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.3759,2048,250,0.3,0.0033,0.1,true,true,softmax,0.1
0.3734,2048,250,0.3,0.0033,0.1,true,true,softmax,0.1
0.659,2048,250,0.3,0.0033,0.1,true,true,softmax,0.001
