test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm
0.8807,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.886,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8902,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8866,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8957,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8883,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8863,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8845,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8934,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8928,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8848,2048,250,0.3,0.0033,0.1,true,false,softmax,0.01
0.8878,2048,250,0.3,0.0033,0.1,true,false,softmax,0.01
0.8792,2048,250,0.3,0.0033,0.1,true,false,softmax,0.01
0.8914,2048,250,0.3,0.0033,0.1,true,false,softmax,0.01
0.8975,2048,250,0.3,0.0033,0.1,true,false,softmax,0.01
0.8969,2048,250,0.3,0.0033,0.1,true,false,softmax,0.01
0.8865,2048,250,0.3,0.0033,0.1,true,false,softmax,0.01
0.8813,2048,250,0.3,0.0033,0.1,true,false,softmax,0.01
0.8859,2048,250,0.3,0.0033,0.1,true,false,softmax,0.01
0.8926,2048,250,0.3,0.0033,0.1,true,false,softmax,0.01
