test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm,num_layers
0.5325,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,2
0.5157,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,2
0.5307,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,2
0.6526,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,2
0.5183,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,2
0.6111,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,2
0.5344,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,2
0.5108,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,2
0.4586,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,2
0.098,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,3
0.098,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,3
0.098,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,3
0.098,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,3
0.098,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,3
0.098,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,3
0.098,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,3
0.098,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,3
0.098,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,3
0.098,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,3
0.098,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,3
0.8565,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,2
0.098,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,3
0.098,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,3
0.098,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,3
0.098,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,3
0.8707,2048,125,0.1,0.0033,0.1,true,true,softmax,0.01,2
